act,scene,n_tokens,n_lines,onstage
4,2,1361,187,#Bevis_2H6 #Cade_2H6 #Clerk_2H6 #Dick_2H6 #FOLLOWERS.CADE.0_2H6 #FOLLOWERS.CADE_2H6 #HERALDS.X.2_2H6 #Holland_2H6 #Michael_2H6 #SOLDIERS_2H6 #Sawyer_2H6 #Smith_2H6 #Stafford_2H6 #WilliamStafford_2H6
4,3,132,18,#Bevis_2H6 #Cade_2H6 #Dick_2H6 #FOLLOWERS.CADE_2H6 #Holland_2H6 #Michael_2H6 #Smith_2H6 #Stafford_2H6 #WilliamStafford_2H6
4,4,450,61,#Buckingham_2H6 #HenryVI_1H6 #MESSENGERS.1_2H6 #MESSENGERS.2_2H6 #QueenMargaret_1H6 #Saye_2H6
4,5,102,13,#CITIZENS.LONDON.0.1_2H6 #CITIZENS.LONDON_2H6 #Scales_2H6
4,6,117,15,#Bevis_2H6 #Cade_2H6 #Dick_2H6 #FOLLOWERS.CADE_2H6 #Holland_2H6 #Michael_2H6 #SOLDIERS.1_2H6 #Smith_2H6
4,7,1062,137,#Bevis_2H6 #Cade_2H6 #Dick_2H6 #FOLLOWERS.CADE.0.1_2H6 #FOLLOWERS.CADE.0_2H6 #FOLLOWERS.CADE_2H6 #George_2H6 #Holland_2H6 #MESSENGERS.X.2_2H6 #Michael_2H6 #Saye_2H6 #Smith_2H6
4,8,578,71,#ATTENDANTS_2H6 #Bevis_2H6 #Buckingham_2H6 #Cade_2H6 #Clifford_2H6 #Dick_2H6 #FOLLOWERS.CADE_2H6 #George_2H6 #Holland_2H6 #Michael_2H6 #Smith_2H6
4,9,393,51,#Buckingham_2H6 #Clifford_2H6 #FOLLOWERS.CADE_2H6 #HenryVI_1H6 #MESSENGERS.X.3_2H6 #QueenMargaret_1H6 #Somerset_1H6
4,10,784,86,#Cade_2H6 #Iden_2H6 #SERVANTS.IDEN_2H6
5,1,1721,220,#ATTENDANTS.YORK_2H6 #ATTENDANTS_2H6 #Buckingham_2H6 #Clifford_2H6 #Clifford_3H6 #EdwardIV_3H6 #HenryVI_1H6 #Iden_2H6 #QueenMargaret_1H6 #RichardIII_R3 #SOLDIERS.YORK_2H6 #Salisbury_2H6 #Somerset_1H6 #Warwick_2H6 #York_1H6
5,2,713,91,#ATTENDANTS_2H6 #Clifford_2H6 #Clifford_3H6 #HenryVI_1H6 #QueenMargaret_1H6 #RichardIII_R3 #Somerset_1H6 #Warwick_2H6 #York_1H6
5,3,275,34,#EdwardIV_3H6 #RichardIII_R3 #SOLDIERS.YORK_2H6 #Salisbury_2H6 #Warwick_2H6 #York_1H6
