tag,type,n,text,xml:id,who,lemma,ana,part,next,rendition,prev,act,scene,onstage,stagegroup_raw,speaker
w,,1.1.2,Home-keeping,fs-tgv-0000290,,home-keeping,#j,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,#Valentine_TGV
c,,, ,,,,,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,
w,,1.1.2,youth,fs-tgv-0000310,,youth,#n1,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,#Valentine_TGV
c,,, ,,,,,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,
w,,1.1.2,have,fs-tgv-0000330,,have,#vvb,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,#Valentine_TGV
c,,, ,,,,,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,
w,,1.1.2,ever,fs-tgv-0000350,,ever,#av,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,#Valentine_TGV
c,,, ,,,,,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,
w,,1.1.2,homely,fs-tgv-0000370,,homely,#j,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,#Valentine_TGV
c,,, ,,,,,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,
w,,1.1.2,wits,fs-tgv-0000390,,wit,#n2,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,#Valentine_TGV
pc,,1.1.2,.,fs-tgv-0000400,,,,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,#Valentine_TGV
l,,1.1.3,,ftln-0003,,,,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,#Valentine_TGV
w,,1.1.3,Were,fs-tgv-0000410,,be,#vvd,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,#Valentine_TGV
c,,, ,,,,,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,
w,,1.1.3,’t,fs-tgv-0000430,,it,#pn,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,#Valentine_TGV
c,,, ,,,,,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,
w,,1.1.3,not,fs-tgv-0000450,,not,#xx,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,#Valentine_TGV
c,,, ,,,,,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,
w,,1.1.3,affection,fs-tgv-0000470,,affection,#n1,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,#Valentine_TGV
c,,, ,,,,,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,
w,,1.1.3,chains,fs-tgv-0000490,,chain,#n2,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,#Valentine_TGV
c,,, ,,,,,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,
w,,1.1.3,thy,fs-tgv-0000510,,thy,#po,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,#Valentine_TGV
c,,, ,,,,,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,
w,,1.1.3,tender,fs-tgv-0000530,,tender,#j,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,#Valentine_TGV
c,,, ,,,,,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,
w,,1.1.3,days,fs-tgv-0000550,,day,#n2,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,#Valentine_TGV
l,,1.1.4,,ftln-0004,,,,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,#Valentine_TGV
w,,1.1.4,To,fs-tgv-0000560,,to,#acp-p,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,#Valentine_TGV
c,,, ,,,,,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,
w,,1.1.4,the,fs-tgv-0000580,,the,#d,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,#Valentine_TGV
c,,, ,,,,,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,
w,,1.1.4,sweet,fs-tgv-0000600,,sweet,#j,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,#Valentine_TGV
c,,, ,,,,,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,
w,,1.1.4,glances,fs-tgv-0000620,,glance,#n2,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,#Valentine_TGV
c,,, ,,,,,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,
w,,1.1.4,of,fs-tgv-0000640,,of,#acp-p,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,#Valentine_TGV
c,,, ,,,,,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,
w,,1.1.4,thy,fs-tgv-0000660,,thy,#po,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,#Valentine_TGV
c,,, ,,,,,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,
w,,1.1.4,honored,fs-tgv-0000680,,honour,#j_vn,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,#Valentine_TGV
c,,, ,,,,,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,
w,,1.1.4,love,fs-tgv-0000700,,love,#n1,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,#Valentine_TGV
pc,,1.1.4,",",fs-tgv-0000710,,,,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,#Valentine_TGV
l,,1.1.5,,ftln-0005,,,,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,#Valentine_TGV
w,,1.1.5,I,fs-tgv-0000720,,i,#pns,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,#Valentine_TGV
c,,, ,,,,,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,
w,,1.1.5,rather,fs-tgv-0000740,,rather,#av-c,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,#Valentine_TGV
c,,, ,,,,,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,
w,,1.1.5,would,fs-tgv-0000760,,will,#vmd,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,#Valentine_TGV
c,,, ,,,,,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,
w,,1.1.5,entreat,fs-tgv-0000780,,entreat,#vvi,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,#Valentine_TGV
c,,, ,,,,,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,
w,,1.1.5,thy,fs-tgv-0000800,,thy,#po,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,#Valentine_TGV
c,,, ,,,,,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,
w,,1.1.5,company,fs-tgv-0000820,,company,#n1,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,#Valentine_TGV
l,,1.1.6,,ftln-0006,,,,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,#Valentine_TGV
w,,1.1.6,To,fs-tgv-0000830,,to,#acp-cs,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,#Valentine_TGV
c,,, ,,,,,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,
w,,1.1.6,see,fs-tgv-0000850,,see,#vvi,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,#Valentine_TGV
c,,, ,,,,,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,
w,,1.1.6,the,fs-tgv-0000870,,the,#d,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,#Valentine_TGV
c,,, ,,,,,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,
w,,1.1.6,wonders,fs-tgv-0000890,,wonder,#n2,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,#Valentine_TGV
c,,, ,,,,,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,
w,,1.1.6,of,fs-tgv-0000910,,of,#acp-p,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,#Valentine_TGV
c,,, ,,,,,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,
w,,1.1.6,the,fs-tgv-0000930,,the,#d,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,#Valentine_TGV
c,,, ,,,,,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,
w,,1.1.6,world,fs-tgv-0000950,,world,#n1,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,#Valentine_TGV
c,,, ,,,,,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,
w,,1.1.6,abroad,fs-tgv-0000970,,abroad,#av,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,#Valentine_TGV
l,,1.1.7,,ftln-0007,,,,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,#Valentine_TGV
w,,1.1.7,Than,fs-tgv-0000980,,than,#cs,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,#Valentine_TGV
pc,,1.1.7,",",fs-tgv-0000990,,,,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,#Valentine_TGV
c,,, ,,,,,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,
w,,1.1.7,living,fs-tgv-0001010,,live,#vvg,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,#Valentine_TGV
c,,, ,,,,,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,
w,,1.1.7,dully,fs-tgv-0001030,,dull,#av_j,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,#Valentine_TGV
c,,, ,,,,,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,
w,,1.1.7,sluggardized,fs-tgv-0001050,,sluggardize,#vvn,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,#Valentine_TGV
c,,, ,,,,,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,
w,,1.1.7,at,fs-tgv-0001070,,at,#acp-p,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,#Valentine_TGV
c,,, ,,,,,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,
w,,1.1.7,home,fs-tgv-0001090,,home,#n1,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,#Valentine_TGV
pc,,1.1.7,",",fs-tgv-0001100,,,,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,#Valentine_TGV
l,,1.1.8,,ftln-0008,,,,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,#Valentine_TGV
w,,1.1.8,Wear,fs-tgv-0001110,,wear,#vvb,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,#Valentine_TGV
c,,, ,,,,,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,
w,,1.1.8,out,fs-tgv-0001130,,out,#av,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,#Valentine_TGV
c,,, ,,,,,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,
w,,1.1.8,thy,fs-tgv-0001150,,thy,#po,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,#Valentine_TGV
c,,, ,,,,,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,
w,,1.1.8,youth,fs-tgv-0001170,,youth,#n1,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,#Valentine_TGV
c,,, ,,,,,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,
w,,1.1.8,with,fs-tgv-0001190,,with,#acp-p,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,#Valentine_TGV
c,,, ,,,,,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,
w,,1.1.8,shapeless,fs-tgv-0001210,,shapeless,#j,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,#Valentine_TGV
c,,, ,,,,,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,
w,,1.1.8,idleness,fs-tgv-0001230,,idleness,#n1,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,#Valentine_TGV
pc,,1.1.8,.,fs-tgv-0001240,,,,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,#Valentine_TGV
l,,1.1.9,,ftln-0009,,,,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,#Valentine_TGV
w,,1.1.9,But,fs-tgv-0001250,,but,#acp-cc,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,#Valentine_TGV
c,,, ,,,,,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,
w,,1.1.9,since,fs-tgv-0001270,,since,#acp-cs,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,#Valentine_TGV
c,,, ,,,,,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,
w,,1.1.9,thou,fs-tgv-0001290,,thou,#pns,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,#Valentine_TGV
c,,, ,,,,,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,
w,,1.1.9,lov’st,fs-tgv-0001310,,love,#vv2,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,#Valentine_TGV
pc,,1.1.9,",",fs-tgv-0001320,,,,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,#Valentine_TGV
c,,, ,,,,,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,
w,,1.1.9,love,fs-tgv-0001340,,love,#vvb,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,#Valentine_TGV
c,,, ,,,,,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,
w,,1.1.9,still,fs-tgv-0001360,,still,#av,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,#Valentine_TGV
c,,, ,,,,,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,
w,,1.1.9,and,fs-tgv-0001380,,and,#cc,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,#Valentine_TGV
c,,, ,,,,,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,
w,,1.1.9,thrive,fs-tgv-0001400,,thrive,#vvb,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,#Valentine_TGV
c,,, ,,,,,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,
w,,1.1.9,therein,fs-tgv-0001420,,therein,#av,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,#Valentine_TGV
pc,,1.1.9,",",fs-tgv-0001430,,,,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,#Valentine_TGV
l,,1.1.10,,ftln-0010,,,,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,#Valentine_TGV
w,,1.1.10,Even,fs-tgv-0001440,,even,#av,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,#Valentine_TGV
c,,, ,,,,,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,
w,,1.1.10,as,fs-tgv-0001460,,as,#acp-cs,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,#Valentine_TGV
c,,, ,,,,,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,
w,,1.1.10,I,fs-tgv-0001480,,i,#pns,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,#Valentine_TGV
c,,, ,,,,,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,
w,,1.1.10,would,fs-tgv-0001500,,will,#vmd,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,#Valentine_TGV
c,,, ,,,,,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,
w,,1.1.10,when,fs-tgv-0001520,,when,#crq-cs,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,#Valentine_TGV
c,,, ,,,,,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,
w,,1.1.10,I,fs-tgv-0001540,,i,#pns,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,#Valentine_TGV
c,,, ,,,,,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,
w,,1.1.10,to,fs-tgv-0001560,,to,#acp-cs,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,#Valentine_TGV
c,,, ,,,,,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,
w,,1.1.10,love,fs-tgv-0001580,,love,#vvi,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,#Valentine_TGV
c,,, ,,,,,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,
w,,1.1.10,begin,fs-tgv-0001600,,begin,#vvb,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,#Valentine_TGV
pc,,1.1.10,.,fs-tgv-0001610,,,,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,#Valentine_TGV
sp,,,,sp-0011,{'#Proteus_TGV'},,,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,#Proteus_TGV
l,,1.1.11,,ftln-0011,,,,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,#Proteus_TGV
w,,1.1.11,Wilt,fs-tgv-0001630,,will,#vm2,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,#Proteus_TGV
c,,, ,,,,,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,
w,,1.1.11,thou,fs-tgv-0001650,,thou,#pns,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,#Proteus_TGV
c,,, ,,,,,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,
w,,1.1.11,be,fs-tgv-0001670,,be,#vvi,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,#Proteus_TGV
c,,, ,,,,,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,
w,,1.1.11,gone,fs-tgv-0001690,,go,#vvn,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,#Proteus_TGV
pc,,1.1.11,?,fs-tgv-0001700,,,,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,#Proteus_TGV
c,,, ,,,,,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,
w,,1.1.11,Sweet,fs-tgv-0001720,,sweet,#j,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,#Proteus_TGV
c,,, ,,,,,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,
w,,1.1.11,Valentine,fs-tgv-0001740,,Valentine,#n1-nn,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,#Proteus_TGV
pc,,1.1.11,",",fs-tgv-0001750,,,,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,#Proteus_TGV
c,,, ,,,,,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,
w,,1.1.11,adieu,fs-tgv-0001770,,adieu,#uh_n,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,#Proteus_TGV
pc,,1.1.11,.,fs-tgv-0001780,,,,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,#Proteus_TGV
l,,1.1.12,,ftln-0012,,,,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,#Proteus_TGV
w,,1.1.12,Think,fs-tgv-0001790,,think,#vvb,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,#Proteus_TGV
c,,, ,,,,,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,
w,,1.1.12,on,fs-tgv-0001810,,on,#acp-p,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,#Proteus_TGV
c,,, ,,,,,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,
w,,1.1.12,thy,fs-tgv-0001830,,thy,#po,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,#Proteus_TGV
c,,, ,,,,,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,
w,,1.1.12,Proteus,fs-tgv-0001850,,Proteus,#n1-nn,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,#Proteus_TGV
c,,, ,,,,,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,
w,,1.1.12,when,fs-tgv-0001870,,when,#crq-cs,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,#Proteus_TGV
c,,, ,,,,,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,
w,,1.1.12,thou,fs-tgv-0001890,,thou,#pns,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,#Proteus_TGV
c,,, ,,,,,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,
w,,1.1.12,haply,fs-tgv-0001910,,haply,#av,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,#Proteus_TGV
c,,, ,,,,,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,
w,,1.1.12,seest,fs-tgv-0001930,,see,#vv2,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,#Proteus_TGV
l,,1.1.13,,ftln-0013,,,,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,#Proteus_TGV
w,,1.1.13,Some,fs-tgv-0001940,,some,#d,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,#Proteus_TGV
c,,, ,,,,,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,
w,,1.1.13,rare,fs-tgv-0001960,,rare,#j,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,#Proteus_TGV
c,,, ,,,,,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,
w,,1.1.13,noteworthy,fs-tgv-0001980,,noteworthy,#j,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,#Proteus_TGV
c,,, ,,,,,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,
w,,1.1.13,object,fs-tgv-0002000,,object,#n1,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,#Proteus_TGV
c,,, ,,,,,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,
w,,1.1.13,in,fs-tgv-0002020,,in,#acp-p,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,#Proteus_TGV
c,,, ,,,,,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,
w,,1.1.13,thy,fs-tgv-0002040,,thy,#po,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,#Proteus_TGV
c,,, ,,,,,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,
w,,1.1.13,travel,fs-tgv-0002060,,travel,#n1,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,#Proteus_TGV
pc,,1.1.13,.,fs-tgv-0002070,,,,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,#Proteus_TGV
l,,1.1.14,,ftln-0014,,,,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,#Proteus_TGV
w,,1.1.14,Wish,fs-tgv-0002080,,wish,#vvb,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,#Proteus_TGV
c,,, ,,,,,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,
w,,1.1.14,me,fs-tgv-0002100,,i,#pno,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,#Proteus_TGV
c,,, ,,,,,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,
w,,1.1.14,partaker,fs-tgv-0002120,,partaker,#n1,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,#Proteus_TGV
c,,, ,,,,,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,
w,,1.1.14,in,fs-tgv-0002140,,in,#acp-p,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,#Proteus_TGV
c,,, ,,,,,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,
w,,1.1.14,thy,fs-tgv-0002160,,thy,#po,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,#Proteus_TGV
c,,, ,,,,,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,
w,,1.1.14,happiness,fs-tgv-0002180,,happiness,#n1,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,#Proteus_TGV
l,,1.1.15,,ftln-0015,,,,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,#Proteus_TGV
w,,1.1.15,When,fs-tgv-0002190,,when,#crq-cs,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,#Proteus_TGV
c,,, ,,,,,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,
w,,1.1.15,thou,fs-tgv-0002210,,thou,#pns,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,#Proteus_TGV
c,,, ,,,,,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,
w,,1.1.15,dost,fs-tgv-0002230,,do,#vv2,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,#Proteus_TGV
c,,, ,,,,,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,
w,,1.1.15,meet,fs-tgv-0002250,,meet,#vvi,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,#Proteus_TGV
c,,, ,,,,,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,
w,,1.1.15,good,fs-tgv-0002270,,good,#j,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,#Proteus_TGV
c,,, ,,,,,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,
w,,1.1.15,hap,fs-tgv-0002290,,hap,#n1,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,#Proteus_TGV
pc,,1.1.15,;,fs-tgv-0002300,,,,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,#Proteus_TGV
c,,, ,,,,,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,
w,,1.1.15,and,fs-tgv-0002320,,and,#cc,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,#Proteus_TGV
c,,, ,,,,,,,,,1,1,#Proteus_TGV #Valentine_TGV,1,
