tag,type,n,text,xml:id,who,lemma,ana,part,prev,rendition,next,unit,corresp,act,scene,onstage,stagegroup_raw,speaker
pc,,1.1.2,",",fs-ham-0000270,,,,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,#Francisco_Ham
c,,, ,,,,,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,
w,,1.1.2,answer,fs-ham-0000290,,answer,#vvb,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,#Francisco_Ham
c,,, ,,,,,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,
w,,1.1.2,me,fs-ham-0000310,,i,#pno,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,#Francisco_Ham
pc,,1.1.2,.,fs-ham-0000320,,,,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,#Francisco_Ham
c,,, ,,,,,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,
w,,1.1.2,Stand,fs-ham-0000340,,stand,#vvb,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,#Francisco_Ham
c,,, ,,,,,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,
w,,1.1.2,and,fs-ham-0000360,,and,#cc,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,#Francisco_Ham
c,,, ,,,,,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,
w,,1.1.2,unfold,fs-ham-0000380,,unfold,#vvd,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,#Francisco_Ham
c,,, ,,,,,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,
w,,1.1.2,yourself,fs-ham-0000400,,yourself,#px,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,#Francisco_Ham
pc,,1.1.2,.,fs-ham-0000410,,,,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,#Francisco_Ham
sp,,,,sp-0003,{'#Barnardo_Ham'},,,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,#Barnardo_Ham
p,,,,p-0003,,,,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,
lb,,1.1.3,,ftln-0003,,,,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,#Barnardo_Ham
w,,1.1.3,Long,fs-ham-0000430,,long,#av_j,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,#Barnardo_Ham
c,,, ,,,,,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,
w,,1.1.3,live,fs-ham-0000450,,live,#vvb,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,#Barnardo_Ham
c,,, ,,,,,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,
w,,1.1.3,the,fs-ham-0000470,,the,#d,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,#Barnardo_Ham
c,,, ,,,,,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,
w,,1.1.3,King,fs-ham-0000490,,king,#n1,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,#Barnardo_Ham
pc,,1.1.3,!,fs-ham-0000500,,,,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,#Barnardo_Ham
sp,,,,sp-0004,{'#Francisco_Ham'},,,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,#Francisco_Ham
p,,,,p-0004,,,,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,
lb,,1.1.4,,ftln-0004,,,,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,#Francisco_Ham
w,,1.1.4,Barnardo,fs-ham-0000520,,Bernardo,#n1-nn,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,#Francisco_Ham
pc,,1.1.4,?,fs-ham-0000530,,,,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,#Francisco_Ham
sp,,,,sp-0005,{'#Barnardo_Ham'},,,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,#Barnardo_Ham
p,,,,p-0005,,,,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,
lb,,1.1.5,,ftln-0005,,,,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,#Barnardo_Ham
w,,1.1.5,He,fs-ham-0000550,,he,#pns,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,#Barnardo_Ham
pc,,1.1.5,.,fs-ham-0000560,,,,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,#Barnardo_Ham
sp,,,,sp-0006,{'#Francisco_Ham'},,,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,#Francisco_Ham
l,,1.1.6,,ftln-0006,,,,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,#Francisco_Ham
w,,1.1.6,You,fs-ham-0000580,,you,#pn,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,#Francisco_Ham
c,,, ,,,,,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,
w,,1.1.6,come,fs-ham-0000600,,come,#vvb,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,#Francisco_Ham
c,,, ,,,,,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,
w,,1.1.6,most,fs-ham-0000620,,most,#av-s_d,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,#Francisco_Ham
c,,, ,,,,,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,
w,,1.1.6,carefully,fs-ham-0000640,,careful,#av_j,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,#Francisco_Ham
c,,, ,,,,,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,
w,,1.1.6,upon,fs-ham-0000660,,upon,#acp-p,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,#Francisco_Ham
c,,, ,,,,,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,
w,,1.1.6,your,fs-ham-0000680,,your,#po,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,#Francisco_Ham
c,,, ,,,,,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,
w,,1.1.6,hour,fs-ham-0000700,,hour,#n1,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,#Francisco_Ham
pc,,1.1.6,.,fs-ham-0000710,,,,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,#Francisco_Ham
sp,,,,sp-0007,{'#Barnardo_Ham'},,,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,#Barnardo_Ham
l,,1.1.7,,ftln-0007,,,,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,#Barnardo_Ham
w,,1.1.7,’Tis,fs-ham-0000730,,it|be,#pn|vvz,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,#Barnardo_Ham
c,,, ,,,,,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,
w,,1.1.7,now,fs-ham-0000750,,now,#av,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,#Barnardo_Ham
c,,, ,,,,,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,
w,,1.1.7,struck,fs-ham-0000770,,strike,#vvn,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,#Barnardo_Ham
c,,, ,,,,,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,
w,,1.1.7,twelve,fs-ham-0000790,,twelve,#crd,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,#Barnardo_Ham
pc,,1.1.7,.,fs-ham-0000800,,,,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,#Barnardo_Ham
c,,, ,,,,,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,
w,,1.1.7,Get,fs-ham-0000820,,get,#vvb,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,#Barnardo_Ham
c,,, ,,,,,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,
w,,1.1.7,thee,fs-ham-0000840,,thou,#pno,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,#Barnardo_Ham
c,,, ,,,,,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,
w,,1.1.7,to,fs-ham-0000860,,to,#acp-p,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,#Barnardo_Ham
c,,, ,,,,,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,
w,,1.1.7,bed,fs-ham-0000880,,bed,#n1,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,#Barnardo_Ham
pc,,1.1.7,",",fs-ham-0000890,,,,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,#Barnardo_Ham
c,,, ,,,,,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,
w,,1.1.7,Francisco,fs-ham-0000910,,Francisco,#n1-nn,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,#Barnardo_Ham
pc,,1.1.7,.,fs-ham-0000920,,,,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,#Barnardo_Ham
sp,,,,sp-0008,{'#Francisco_Ham'},,,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,#Francisco_Ham
l,,1.1.8,,ftln-0008,,,,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,#Francisco_Ham
w,,1.1.8,For,fs-ham-0000940,,for,#acp-p,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,#Francisco_Ham
c,,, ,,,,,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,
w,,1.1.8,this,fs-ham-0000960,,this,#d,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,#Francisco_Ham
c,,, ,,,,,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,
w,,1.1.8,relief,fs-ham-0000980,,relief,#n1,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,#Francisco_Ham
c,,, ,,,,,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,
w,,1.1.8,much,fs-ham-0001000,,much,#av_d,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,#Francisco_Ham
c,,, ,,,,,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,
w,,1.1.8,thanks,fs-ham-0001020,,thank,#n2,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,#Francisco_Ham
pc,,1.1.8,.,fs-ham-0001030,,,,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,#Francisco_Ham
c,,, ,,,,,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,
w,,1.1.8,’Tis,fs-ham-0001050,,it|be,#pn|vvz,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,#Francisco_Ham
c,,, ,,,,,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,
w,,1.1.8,bitter,fs-ham-0001070,,bitter,#j,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,#Francisco_Ham
c,,, ,,,,,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,
w,,1.1.8,cold,fs-ham-0001090,,cold,#j,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,#Francisco_Ham
pc,,1.1.8,",",fs-ham-0001100,,,,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,#Francisco_Ham
l,,1.1.9,,ftln-0009,,,,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,#Francisco_Ham
w,,1.1.9,And,fs-ham-0001110,,and,#cc,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,#Francisco_Ham
c,,, ,,,,,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,
w,,1.1.9,I,fs-ham-0001130,,i,#pns,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,#Francisco_Ham
c,,, ,,,,,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,
w,,1.1.9,am,fs-ham-0001150,,be,#vvm,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,#Francisco_Ham
c,,, ,,,,,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,
w,,1.1.9,sick,fs-ham-0001170,,sick,#j,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,#Francisco_Ham
c,,, ,,,,,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,
w,,1.1.9,at,fs-ham-0001190,,at,#acp-p,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,#Francisco_Ham
c,,, ,,,,,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,
w,,1.1.9,heart,fs-ham-0001210,,heart,#n1,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,#Francisco_Ham
pc,,1.1.9,.,fs-ham-0001220,,,,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,#Francisco_Ham
sp,,,,sp-0010,{'#Barnardo_Ham'},,,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,#Barnardo_Ham
p,,,,p-0010,,,,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,
lb,,1.1.10,,ftln-0010,,,,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,#Barnardo_Ham
w,,1.1.10,Have,fs-ham-0001240,,have,#vvb,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,#Barnardo_Ham
c,,, ,,,,,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,
w,,1.1.10,you,fs-ham-0001260,,you,#pn,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,#Barnardo_Ham
c,,, ,,,,,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,
w,,1.1.10,had,fs-ham-0001280,,have,#vvn,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,#Barnardo_Ham
c,,, ,,,,,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,
w,,1.1.10,quiet,fs-ham-0001300,,quiet,#j,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,#Barnardo_Ham
c,,, ,,,,,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,
w,,1.1.10,guard,fs-ham-0001320,,guard,#n1,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,#Barnardo_Ham
pc,,1.1.10,?,fs-ham-0001330,,,,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,#Barnardo_Ham
sp,,,,sp-0011,{'#Francisco_Ham'},,,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,#Francisco_Ham
p,,,,p-0011,,,,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,
lb,,1.1.11,,ftln-0011,,,,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,#Francisco_Ham
w,,1.1.11,Not,fs-ham-0001350,,not,#xx,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,#Francisco_Ham
c,,, ,,,,,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,
w,,1.1.11,a,fs-ham-0001370,,a,#d,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,#Francisco_Ham
c,,, ,,,,,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,
w,,1.1.11,mouse,fs-ham-0001390,,mouse,#n1,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,#Francisco_Ham
c,,, ,,,,,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,
w,,1.1.11,stirring,fs-ham-0001410,,stir,#vvg,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,#Francisco_Ham
pc,,1.1.11,.,fs-ham-0001420,,,,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,#Francisco_Ham
sp,,,,sp-0012,{'#Barnardo_Ham'},,,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,#Barnardo_Ham
l,,1.1.12,,ftln-0012,,,#short,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,#Barnardo_Ham
w,,1.1.12,Well,fs-ham-0001440,,well,#uh_mi,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,#Barnardo_Ham
pc,,1.1.12,",",fs-ham-0001450,,,,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,#Barnardo_Ham
c,,, ,,,,,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,
w,,1.1.12,good,fs-ham-0001470,,good,#j,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,#Barnardo_Ham
c,,, ,,,,,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,
w,,1.1.12,night,fs-ham-0001490,,night,#n1,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,#Barnardo_Ham
pc,,1.1.12,.,fs-ham-0001500,,,,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,#Barnardo_Ham
l,,1.1.13,,ftln-0013,,,,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,#Barnardo_Ham
w,,1.1.13,If,fs-ham-0001510,,if,#cs,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,#Barnardo_Ham
c,,, ,,,,,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,
w,,1.1.13,you,fs-ham-0001530,,you,#pn,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,#Barnardo_Ham
c,,, ,,,,,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,
w,,1.1.13,do,fs-ham-0001550,,do,#vvb,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,#Barnardo_Ham
c,,, ,,,,,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,
w,,1.1.13,meet,fs-ham-0001570,,meet,#vvi,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,#Barnardo_Ham
c,,, ,,,,,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,
w,,1.1.13,Horatio,fs-ham-0001590,,Horatio,#n1-nn,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,#Barnardo_Ham
c,,, ,,,,,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,
w,,1.1.13,and,fs-ham-0001610,,and,#cc,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,#Barnardo_Ham
c,,, ,,,,,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,
w,,1.1.13,Marcellus,fs-ham-0001630,,Marcellus,#n1-nn,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,#Barnardo_Ham
pc,,1.1.13,",",fs-ham-0001640,,,,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,#Barnardo_Ham
l,,1.1.14,,ftln-0014,,,,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,#Barnardo_Ham
w,,1.1.14,The,fs-ham-0001650,,the,#d,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,#Barnardo_Ham
c,,, ,,,,,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,
w,,1.1.14,rivals,fs-ham-0001670,,rival,#n2,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,#Barnardo_Ham
c,,, ,,,,,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,
w,,1.1.14,of,fs-ham-0001690,,of,#acp-p,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,#Barnardo_Ham
c,,, ,,,,,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,
w,,1.1.14,my,fs-ham-0001710,,my,#po,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,#Barnardo_Ham
c,,, ,,,,,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,
w,,1.1.14,watch,fs-ham-0001730,,watch,#n1,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,#Barnardo_Ham
pc,,1.1.14,",",fs-ham-0001740,,,,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,#Barnardo_Ham
c,,, ,,,,,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,
w,,1.1.14,bid,fs-ham-0001760,,bid,#vvb,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,#Barnardo_Ham
c,,, ,,,,,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,
w,,1.1.14,them,fs-ham-0001780,,they,#pno,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,#Barnardo_Ham
c,,, ,,,,,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,
w,,1.1.14,make,fs-ham-0001800,,make,#vvi,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,#Barnardo_Ham
c,,, ,,,,,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,
w,,1.1.14,haste,fs-ham-0001820,,haste,#n1,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,#Barnardo_Ham
pc,,1.1.14,.,fs-ham-0001830,,,,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham,1,#Barnardo_Ham
stage,entrance,SD 1.1.14.1,,stg-0014.1,"{'#Marcellus_Ham', '#Horatio_Ham'}",,,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham #Horatio_Ham #Marcellus_Ham,2,
w,,SD 1.1.14.1,Enter,fs-ham-0001840,,,,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham #Horatio_Ham #Marcellus_Ham,2,
c,,, ,,,,,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham #Horatio_Ham #Marcellus_Ham,2,
w,,SD 1.1.14.1,Horatio,fs-ham-0001860,,,,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham #Horatio_Ham #Marcellus_Ham,2,
c,,, ,,,,,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham #Horatio_Ham #Marcellus_Ham,2,
w,,SD 1.1.14.1,and,fs-ham-0001880,,,,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham #Horatio_Ham #Marcellus_Ham,2,
c,,, ,,,,,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham #Horatio_Ham #Marcellus_Ham,2,
w,,SD 1.1.14.1,Marcellus,fs-ham-0001900,,,,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham #Horatio_Ham #Marcellus_Ham,2,
pc,,SD 1.1.14.1,.,fs-ham-0001910,,,,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham #Horatio_Ham #Marcellus_Ham,2,
sp,,,,sp-0015,{'#Francisco_Ham'},,,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham #Horatio_Ham #Marcellus_Ham,2,#Francisco_Ham
l,,1.1.15,,ftln-0015,,,,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham #Horatio_Ham #Marcellus_Ham,2,#Francisco_Ham
w,,1.1.15,I,fs-ham-0001930,,i,#pns,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham #Horatio_Ham #Marcellus_Ham,2,#Francisco_Ham
c,,, ,,,,,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham #Horatio_Ham #Marcellus_Ham,2,
w,,1.1.15,think,fs-ham-0001950,,think,#vvb,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham #Horatio_Ham #Marcellus_Ham,2,#Francisco_Ham
c,,, ,,,,,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham #Horatio_Ham #Marcellus_Ham,2,
w,,1.1.15,I,fs-ham-0001970,,i,#pns,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham #Horatio_Ham #Marcellus_Ham,2,#Francisco_Ham
c,,, ,,,,,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham #Horatio_Ham #Marcellus_Ham,2,
w,,1.1.15,hear,fs-ham-0001990,,hear,#vvb,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham #Horatio_Ham #Marcellus_Ham,2,#Francisco_Ham
c,,, ,,,,,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham #Horatio_Ham #Marcellus_Ham,2,
w,,1.1.15,them,fs-ham-0002010,,they,#pno,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham #Horatio_Ham #Marcellus_Ham,2,#Francisco_Ham
pc,,1.1.15,.,fs-ham-0002020,,,,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham #Horatio_Ham #Marcellus_Ham,2,#Francisco_Ham
pc,,1.1.15,—,fs-ham-0002030,,,,,,,,,,1,1,#Barnardo_Ham #Francisco_Ham #Horatio_Ham #Marcellus_Ham,2,#Francisco_Ham
