tag,type,n,text,xml:id,who,lemma,ana,part,next,rendition,act,scene,onstage,stagegroup_raw,speaker
c,,, ,,,,,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,
w,,SD 1.1.0,and,fs-r2-0000260,,,,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,
c,,, ,,,,,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,
w,,SD 1.1.0,Attendants,fs-r2-0000280,,,,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,
pc,,SD 1.1.0,.,fs-r2-0000290,,,,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,
sp,,,,sp-0001,{'#RichardII_R2'},,,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,#RichardII_R2
l,,1.1.1,,ftln-0001,,,,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,#RichardII_R2
w,,1.1.1,Old,fs-r2-0000330,,old,#j,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,#RichardII_R2
c,,, ,,,,,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,
w,,1.1.1,John,fs-r2-0000350,,John,#n1-nn,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,#RichardII_R2
c,,, ,,,,,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,
w,,1.1.1,of,fs-r2-0000370,,of,#acp-p,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,#RichardII_R2
c,,, ,,,,,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,
w,,1.1.1,Gaunt,fs-r2-0000390,,Gaunt,#n1-nn,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,#RichardII_R2
pc,,1.1.1,",",fs-r2-0000400,,,,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,#RichardII_R2
c,,, ,,,,,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,
w,,1.1.1,time-honored,fs-r2-0000420,,time-honoured,#j,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,#RichardII_R2
c,,, ,,,,,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,
w,,1.1.1,Lancaster,fs-r2-0000440,,Lancaster,#n1-nn,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,#RichardII_R2
pc,,1.1.1,",",fs-r2-0000450,,,,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,#RichardII_R2
l,,1.1.2,,ftln-0002,,,,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,#RichardII_R2
w,,1.1.2,Hast,fs-r2-0000460,,have,#vv2,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,#RichardII_R2
c,,, ,,,,,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,
w,,1.1.2,thou,fs-r2-0000480,,thou,#pns,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,#RichardII_R2
pc,,1.1.2,",",fs-r2-0000490,,,,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,#RichardII_R2
c,,, ,,,,,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,
w,,1.1.2,according,fs-r2-0000510,,accord,#vvg,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,#RichardII_R2
c,,, ,,,,,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,
w,,1.1.2,to,fs-r2-0000530,,to,#acp-p,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,#RichardII_R2
c,,, ,,,,,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,
w,,1.1.2,thy,fs-r2-0000550,,thy,#po,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,#RichardII_R2
c,,, ,,,,,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,
w,,1.1.2,oath,fs-r2-0000570,,oath,#n1,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,#RichardII_R2
c,,, ,,,,,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,
w,,1.1.2,and,fs-r2-0000590,,and,#cc,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,#RichardII_R2
c,,, ,,,,,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,
w,,1.1.2,band,fs-r2-0000610,,band,#n1,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,#RichardII_R2
pc,,1.1.2,",",fs-r2-0000620,,,,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,#RichardII_R2
l,,1.1.3,,ftln-0003,,,,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,#RichardII_R2
w,,1.1.3,Brought,fs-r2-0000630,,bring,#vvn,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,#RichardII_R2
c,,, ,,,,,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,
w,,1.1.3,hither,fs-r2-0000650,,hither,#av,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,#RichardII_R2
c,,, ,,,,,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,
w,,1.1.3,Henry,fs-r2-0000670,,Henry,#n1-nn,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,#RichardII_R2
c,,, ,,,,,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,
w,,1.1.3,Hereford,fs-r2-0000690,,Hereford,#n1-nn,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,#RichardII_R2
pc,,1.1.3,",",fs-r2-0000700,,,,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,#RichardII_R2
c,,, ,,,,,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,
w,,1.1.3,thy,fs-r2-0000720,,thy,#po,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,#RichardII_R2
c,,, ,,,,,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,
w,,1.1.3,bold,fs-r2-0000740,,bold,#j,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,#RichardII_R2
c,,, ,,,,,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,
w,,1.1.3,son,fs-r2-0000760,,son,#n1,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,#RichardII_R2
pc,,1.1.3,",",fs-r2-0000770,,,,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,#RichardII_R2
l,,1.1.4,,ftln-0004,,,,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,#RichardII_R2
w,,1.1.4,Here,fs-r2-0000780,,here,#av,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,#RichardII_R2
c,,, ,,,,,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,
w,,1.1.4,to,fs-r2-0000800,,to,#acp-cs,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,#RichardII_R2
c,,, ,,,,,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,
w,,1.1.4,make,fs-r2-0000820,,make,#vvi,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,#RichardII_R2
c,,, ,,,,,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,
w,,1.1.4,good,fs-r2-0000840,,good,#j,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,#RichardII_R2
c,,, ,,,,,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,
w,,1.1.4,the,fs-r2-0000860,,the,#d,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,#RichardII_R2
c,,, ,,,,,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,
w,,1.1.4,boist’rous,fs-r2-0000880,,boisterous,#j,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,#RichardII_R2
c,,, ,,,,,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,
w,,1.1.4,late,fs-r2-0000900,,late,#j,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,#RichardII_R2
c,,, ,,,,,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,
w,,1.1.4,appeal,fs-r2-0000920,,appeal,#n1,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,#RichardII_R2
pc,,1.1.4,",",fs-r2-0000930,,,,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,#RichardII_R2
l,,1.1.5,,ftln-0005,,,,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,#RichardII_R2
w,,1.1.5,Which,fs-r2-0000940,,which,#crq-r,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,#RichardII_R2
c,,, ,,,,,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,
w,,1.1.5,then,fs-r2-0000960,,then,#av,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,#RichardII_R2
c,,, ,,,,,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,
w,,1.1.5,our,fs-r2-0000980,,our,#po,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,#RichardII_R2
c,,, ,,,,,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,
w,,1.1.5,leisure,fs-r2-0001000,,leisure,#n1,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,#RichardII_R2
c,,, ,,,,,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,
w,,1.1.5,would,fs-r2-0001020,,will,#vmd,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,#RichardII_R2
c,,, ,,,,,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,
w,,1.1.5,not,fs-r2-0001040,,not,#xx,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,#RichardII_R2
c,,, ,,,,,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,
w,,1.1.5,let,fs-r2-0001060,,let,#vvi,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,#RichardII_R2
c,,, ,,,,,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,
w,,1.1.5,us,fs-r2-0001080,,we,#pno,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,#RichardII_R2
c,,, ,,,,,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,
w,,1.1.5,hear,fs-r2-0001100,,hear,#vvi,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,#RichardII_R2
pc,,1.1.5,",",fs-r2-0001110,,,,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,#RichardII_R2
l,,1.1.6,,ftln-0006,,,,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,#RichardII_R2
w,,1.1.6,Against,fs-r2-0001120,,against,#acp-p,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,#RichardII_R2
c,,, ,,,,,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,
w,,1.1.6,the,fs-r2-0001140,,the,#d,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,#RichardII_R2
c,,, ,,,,,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,
w,,1.1.6,Duke,fs-r2-0001160,,duke,#n1,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,#RichardII_R2
c,,, ,,,,,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,
w,,1.1.6,of,fs-r2-0001180,,of,#acp-p,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,#RichardII_R2
c,,, ,,,,,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,
w,,1.1.6,Norfolk,fs-r2-0001200,,Norfolk,#n1-nn,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,#RichardII_R2
pc,,1.1.6,",",fs-r2-0001210,,,,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,#RichardII_R2
c,,, ,,,,,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,
w,,1.1.6,Thomas,fs-r2-0001230,,Thomas,#n1-nn,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,#RichardII_R2
c,,, ,,,,,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,
w,,1.1.6,Mowbray,fs-r2-0001250,,Mowbray,#n1-nn,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,#RichardII_R2
pc,,1.1.6,?,fs-r2-0001260,,,,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,#RichardII_R2
sp,,,,sp-0007,{'#Gaunt_R2'},,,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,#Gaunt_R2
l,,1.1.7,,ftln-0007,,,#short,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,#Gaunt_R2
w,,1.1.7,I,fs-r2-0001280,,i,#pns,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,#Gaunt_R2
c,,, ,,,,,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,
w,,1.1.7,have,fs-r2-0001300,,have,#vvb,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,#Gaunt_R2
pc,,1.1.7,",",fs-r2-0001310,,,,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,#Gaunt_R2
c,,, ,,,,,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,
w,,1.1.7,my,fs-r2-0001330,,my,#po,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,#Gaunt_R2
c,,, ,,,,,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,
w,,1.1.7,liege,fs-r2-0001350,,liege,#n1,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,#Gaunt_R2
pc,,1.1.7,.,fs-r2-0001360,,,,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,#Gaunt_R2
sp,,,,sp-0008,{'#RichardII_R2'},,,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,#RichardII_R2
l,,1.1.8,,ftln-0008,,,,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,#RichardII_R2
w,,1.1.8,Tell,fs-r2-0001400,,tell,#vvb,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,#RichardII_R2
c,,, ,,,,,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,
w,,1.1.8,me,fs-r2-0001420,,i,#pno,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,#RichardII_R2
pc,,1.1.8,",",fs-r2-0001430,,,,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,#RichardII_R2
c,,, ,,,,,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,
w,,1.1.8,moreover,fs-r2-0001450,,moreover,#av,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,#RichardII_R2
pc,,1.1.8,",",fs-r2-0001460,,,,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,#RichardII_R2
c,,, ,,,,,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,
w,,1.1.8,hast,fs-r2-0001480,,have,#vv2,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,#RichardII_R2
c,,, ,,,,,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,
w,,1.1.8,thou,fs-r2-0001500,,thou,#pns,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,#RichardII_R2
c,,, ,,,,,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,
w,,1.1.8,sounded,fs-r2-0001520,,sound,#vvn,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,#RichardII_R2
c,,, ,,,,,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,
w,,1.1.8,him,fs-r2-0001540,,he,#pno,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,#RichardII_R2
l,,1.1.9,,ftln-0009,,,,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,#RichardII_R2
w,,1.1.9,If,fs-r2-0001550,,if,#cs,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,#RichardII_R2
c,,, ,,,,,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,
w,,1.1.9,he,fs-r2-0001570,,he,#pns,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,#RichardII_R2
c,,, ,,,,,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,
w,,1.1.9,appeal,fs-r2-0001590,,appeal,#vvb,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,#RichardII_R2
c,,, ,,,,,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,
w,,1.1.9,the,fs-r2-0001610,,the,#d,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,#RichardII_R2
c,,, ,,,,,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,
w,,1.1.9,Duke,fs-r2-0001630,,duke,#n1,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,#RichardII_R2
c,,, ,,,,,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,
w,,1.1.9,on,fs-r2-0001650,,on,#acp-p,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,#RichardII_R2
c,,, ,,,,,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,
w,,1.1.9,ancient,fs-r2-0001670,,ancient,#j,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,#RichardII_R2
c,,, ,,,,,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,
w,,1.1.9,malice,fs-r2-0001690,,malice,#n1,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,#RichardII_R2
l,,1.1.10,,ftln-0010,,,,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,#RichardII_R2
w,,1.1.10,Or,fs-r2-0001710,,or,#cc,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,#RichardII_R2
c,,, ,,,,,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,
w,,1.1.10,worthily,fs-r2-0001730,,worthy,#av_j,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,#RichardII_R2
pc,,1.1.10,",",fs-r2-0001740,,,,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,#RichardII_R2
c,,, ,,,,,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,
w,,1.1.10,as,fs-r2-0001760,,as,#acp-cs,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,#RichardII_R2
c,,, ,,,,,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,
w,,1.1.10,a,fs-r2-0001780,,a,#d,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,#RichardII_R2
c,,, ,,,,,,,,1,1,#ATTENDANTS_R2 #Gaunt_R2 #LORDS_R2 #RichardII_R2,1,
