tag,type,n,text,xml:id,who,lemma,ana,part,rendition,act,scene,onstage,stagegroup_raw,speaker
w,,SD 1.1.0,the,fs-1h4-0000250,,,,,,1,1,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,1,
c,,, ,,,,,,,1,1,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,1,
w,,SD 1.1.0,Earl,fs-1h4-0000270,,,,,,1,1,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,1,
c,,, ,,,,,,,1,1,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,1,
w,,SD 1.1.0,of,fs-1h4-0000280,,,,,,1,1,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,1,
c,,, ,,,,,,,1,1,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,1,
w,,SD 1.1.0,Westmoreland,fs-1h4-0000300,,,,,,1,1,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,1,
pc,,SD 1.1.0,",",fs-1h4-0000310,,,,,,1,1,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,1,
c,,, ,,,,,,,1,1,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,1,
w,,SD 1.1.0,with,fs-1h4-0000330,,,,,,1,1,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,1,
c,,, ,,,,,,,1,1,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,1,
w,,SD 1.1.0,others,fs-1h4-0000350,,,,,,1,1,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,1,
pc,,SD 1.1.0,.,fs-1h4-0000360,,,,,,1,1,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,1,
sp,,,,sp-0001,{'#HenryIV_1H4'},,,,,1,1,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,1,#HenryIV_1H4
l,,1.1.1,,ftln-0001,,,,,,1,1,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,1,#HenryIV_1H4
w,,1.1.1,So,fs-1h4-0000380,,so,#av,,,1,1,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,1,#HenryIV_1H4
c,,, ,,,,,,,1,1,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,1,
w,,1.1.1,shaken,fs-1h4-0000400,,shake,#vvn,,,1,1,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,1,#HenryIV_1H4
c,,, ,,,,,,,1,1,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,1,
w,,1.1.1,as,fs-1h4-0000420,,as,#acp-cs,,,1,1,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,1,#HenryIV_1H4
c,,, ,,,,,,,1,1,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,1,
w,,1.1.1,we,fs-1h4-0000440,,we,#pns,,,1,1,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,1,#HenryIV_1H4
c,,, ,,,,,,,1,1,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,1,
w,,1.1.1,are,fs-1h4-0000460,,be,#vvb,,,1,1,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,1,#HenryIV_1H4
pc,,1.1.1,",",fs-1h4-0000470,,,,,,1,1,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,1,#HenryIV_1H4
c,,, ,,,,,,,1,1,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,1,
w,,1.1.1,so,fs-1h4-0000490,,so,#av,,,1,1,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,1,#HenryIV_1H4
c,,, ,,,,,,,1,1,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,1,
w,,1.1.1,wan,fs-1h4-0000510,,wan,#j,,,1,1,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,1,#HenryIV_1H4
c,,, ,,,,,,,1,1,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,1,
w,,1.1.1,with,fs-1h4-0000530,,with,#acp-p,,,1,1,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,1,#HenryIV_1H4
c,,, ,,,,,,,1,1,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,1,
w,,1.1.1,care,fs-1h4-0000550,,care,#n1,,,1,1,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,1,#HenryIV_1H4
pc,,1.1.1,",",fs-1h4-0000560,,,,,,1,1,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,1,#HenryIV_1H4
l,,1.1.2,,ftln-0002,,,,,,1,1,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,1,#HenryIV_1H4
w,,1.1.2,Find,fs-1h4-0000570,,find,#vvb,,,1,1,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,1,#HenryIV_1H4
c,,, ,,,,,,,1,1,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,1,
w,,1.1.2,we,fs-1h4-0000590,,we,#pns,,,1,1,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,1,#HenryIV_1H4
c,,, ,,,,,,,1,1,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,1,
w,,1.1.2,a,fs-1h4-0000610,,a,#d,,,1,1,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,1,#HenryIV_1H4
c,,, ,,,,,,,1,1,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,1,
w,,1.1.2,time,fs-1h4-0000630,,time,#n1,,,1,1,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,1,#HenryIV_1H4
c,,, ,,,,,,,1,1,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,1,
w,,1.1.2,for,fs-1h4-0000650,,for,#acp-p,,,1,1,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,1,#HenryIV_1H4
c,,, ,,,,,,,1,1,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,1,
w,,1.1.2,frighted,fs-1h4-0000670,,fright,#j_vn,,,1,1,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,1,#HenryIV_1H4
c,,, ,,,,,,,1,1,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,1,
w,,1.1.2,peace,fs-1h4-0000690,,peace,#n1,,,1,1,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,1,#HenryIV_1H4
c,,, ,,,,,,,1,1,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,1,
w,,1.1.2,to,fs-1h4-0000710,,to,#acp-cs,,,1,1,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,1,#HenryIV_1H4
c,,, ,,,,,,,1,1,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,1,
w,,1.1.2,pant,fs-1h4-0000730,,pant,#vvi,,,1,1,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,1,#HenryIV_1H4
l,,1.1.3,,ftln-0003,,,,,,1,1,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,1,#HenryIV_1H4
w,,1.1.3,And,fs-1h4-0000740,,and,#cc,,,1,1,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,1,#HenryIV_1H4
c,,, ,,,,,,,1,1,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,1,
w,,1.1.3,breathe,fs-1h4-0000760,,breathe,#vvi,,,1,1,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,1,#HenryIV_1H4
c,,, ,,,,,,,1,1,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,1,
w,,1.1.3,short-winded,fs-1h4-0000780,,short-winded,#j,,,1,1,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,1,#HenryIV_1H4
c,,, ,,,,,,,1,1,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,1,
w,,1.1.3,accents,fs-1h4-0000800,,accent,#n2,,,1,1,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,1,#HenryIV_1H4
c,,, ,,,,,,,1,1,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,1,
w,,1.1.3,of,fs-1h4-0000820,,of,#acp-p,,,1,1,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,1,#HenryIV_1H4
c,,, ,,,,,,,1,1,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,1,
w,,1.1.3,new,fs-1h4-0000840,,new,#j,,,1,1,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,1,#HenryIV_1H4
c,,, ,,,,,,,1,1,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,1,
w,,1.1.3,broils,fs-1h4-0000860,,broil,#n2,,,1,1,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,1,#HenryIV_1H4
l,,1.1.4,,ftln-0004,,,,,,1,1,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,1,#HenryIV_1H4
w,,1.1.4,To,fs-1h4-0000870,,to,#acp-cs,,,1,1,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,1,#HenryIV_1H4
c,,, ,,,,,,,1,1,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,1,
w,,1.1.4,be,fs-1h4-0000890,,be,#vvi,,,1,1,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,1,#HenryIV_1H4
c,,, ,,,,,,,1,1,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,1,
w,,1.1.4,commenced,fs-1h4-0000910,,commence,#vvn,,,1,1,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,1,#HenryIV_1H4
c,,, ,,,,,,,1,1,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,1,
w,,1.1.4,in,fs-1h4-0000930,,in,#acp-p,,,1,1,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,1,#HenryIV_1H4
c,,, ,,,,,,,1,1,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,1,
w,,1.1.4,strands,fs-1h4-0000950,,strand,#n2,,,1,1,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,1,#HenryIV_1H4
c,,, ,,,,,,,1,1,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,1,
w,,1.1.4,afar,fs-1h4-0000970,,afar,#av,,,1,1,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,1,#HenryIV_1H4
c,,, ,,,,,,,1,1,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,1,
w,,1.1.4,remote,fs-1h4-0000990,,remote,#j,,,1,1,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,1,#HenryIV_1H4
pc,,1.1.4,.,fs-1h4-0001000,,,,,,1,1,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,1,#HenryIV_1H4
l,,1.1.5,,ftln-0005,,,,,,1,1,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,1,#HenryIV_1H4
w,,1.1.5,No,fs-1h4-0001010,,no,#av-x_d,,,1,1,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,1,#HenryIV_1H4
c,,, ,,,,,,,1,1,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,1,
w,,1.1.5,more,fs-1h4-0001030,,more,#av-c_d,,,1,1,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,1,#HenryIV_1H4
c,,, ,,,,,,,1,1,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,1,
w,,1.1.5,the,fs-1h4-0001050,,the,#d,,,1,1,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,1,#HenryIV_1H4
c,,, ,,,,,,,1,1,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,1,
w,,1.1.5,thirsty,fs-1h4-0001070,,thirsty,#j,,,1,1,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,1,#HenryIV_1H4
c,,, ,,,,,,,1,1,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,1,
w,,1.1.5,entrance,fs-1h4-0001090,,entrance,#n1,,,1,1,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,1,#HenryIV_1H4
c,,, ,,,,,,,1,1,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,1,
w,,1.1.5,of,fs-1h4-0001110,,of,#acp-p,,,1,1,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,1,#HenryIV_1H4
c,,, ,,,,,,,1,1,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,1,
w,,1.1.5,this,fs-1h4-0001130,,this,#d,,,1,1,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,1,#HenryIV_1H4
c,,, ,,,,,,,1,1,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,1,
w,,1.1.5,soil,fs-1h4-0001150,,soil,#n1,,,1,1,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,1,#HenryIV_1H4
l,,1.1.6,,ftln-0006,,,,,,1,1,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,1,#HenryIV_1H4
w,,1.1.6,Shall,fs-1h4-0001160,,shall,#vmb,,,1,1,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,1,#HenryIV_1H4
c,,, ,,,,,,,1,1,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,1,
w,,1.1.6,daub,fs-1h4-0001180,,daub,#vvi,,,1,1,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,1,#HenryIV_1H4
c,,, ,,,,,,,1,1,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,1,
w,,1.1.6,her,fs-1h4-0001200,,her,#po,,,1,1,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,1,#HenryIV_1H4
c,,, ,,,,,,,1,1,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,1,
w,,1.1.6,lips,fs-1h4-0001220,,lip,#n2,,,1,1,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,1,#HenryIV_1H4
c,,, ,,,,,,,1,1,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,1,
w,,1.1.6,with,fs-1h4-0001240,,with,#acp-p,,,1,1,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,1,#HenryIV_1H4
c,,, ,,,,,,,1,1,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,1,
w,,1.1.6,her,fs-1h4-0001260,,her,#po,,,1,1,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,1,#HenryIV_1H4
c,,, ,,,,,,,1,1,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,1,
w,,1.1.6,own,fs-1h4-0001280,,own,#d,,,1,1,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,1,#HenryIV_1H4
c,,, ,,,,,,,1,1,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,1,
w,,1.1.6,children’s,fs-1h4-0001300,,child,#n2g,,,1,1,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,1,#HenryIV_1H4
c,,, ,,,,,,,1,1,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,1,
w,,1.1.6,blood,fs-1h4-0001320,,blood,#n1,,,1,1,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,1,#HenryIV_1H4
pc,,1.1.6,.,fs-1h4-0001330,,,,,,1,1,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,1,#HenryIV_1H4
l,,1.1.7,,ftln-0007,,,,,,1,1,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,1,#HenryIV_1H4
w,,1.1.7,No,fs-1h4-0001340,,no,#av-x_d,,,1,1,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,1,#HenryIV_1H4
c,,, ,,,,,,,1,1,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,1,
w,,1.1.7,more,fs-1h4-0001360,,more,#d-c,,,1,1,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,1,#HenryIV_1H4
c,,, ,,,,,,,1,1,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,1,
w,,1.1.7,shall,fs-1h4-0001380,,shall,#vmb,,,1,1,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,1,#HenryIV_1H4
c,,, ,,,,,,,1,1,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,1,
w,,1.1.7,trenching,fs-1h4-0001400,,trench,#j_vg,,,1,1,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,1,#HenryIV_1H4
c,,, ,,,,,,,1,1,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,1,
w,,1.1.7,war,fs-1h4-0001420,,war,#n1,,,1,1,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,1,#HenryIV_1H4
c,,, ,,,,,,,1,1,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,1,
w,,1.1.7,channel,fs-1h4-0001440,,channel,#vvi,,,1,1,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,1,#HenryIV_1H4
c,,, ,,,,,,,1,1,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,1,
w,,1.1.7,her,fs-1h4-0001460,,her,#po,,,1,1,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,1,#HenryIV_1H4
c,,, ,,,,,,,1,1,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,1,
w,,1.1.7,fields,fs-1h4-0001480,,field,#n2,,,1,1,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,1,#HenryIV_1H4
pc,,1.1.7,",",fs-1h4-0001490,,,,,,1,1,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,1,#HenryIV_1H4
l,,1.1.8,,ftln-0008,,,,,,1,1,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,1,#HenryIV_1H4
w,,1.1.8,Nor,fs-1h4-0001500,,nor,#cc-x,,,1,1,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,1,#HenryIV_1H4
c,,, ,,,,,,,1,1,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,1,
w,,1.1.8,bruise,fs-1h4-0001520,,bruise,#vvi,,,1,1,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,1,#HenryIV_1H4
c,,, ,,,,,,,1,1,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,1,
w,,1.1.8,her,fs-1h4-0001540,,her,#po,,,1,1,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,1,#HenryIV_1H4
c,,, ,,,,,,,1,1,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,1,
w,,1.1.8,flow’rets,fs-1h4-0001560,,flowret,#n2,,,1,1,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,1,#HenryIV_1H4
c,,, ,,,,,,,1,1,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,1,
w,,1.1.8,with,fs-1h4-0001580,,with,#acp-p,,,1,1,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,1,#HenryIV_1H4
c,,, ,,,,,,,1,1,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,1,
w,,1.1.8,the,fs-1h4-0001600,,the,#d,,,1,1,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,1,#HenryIV_1H4
c,,, ,,,,,,,1,1,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,1,
w,,1.1.8,armèd,fs-1h4-0001620,,arm,#j_vn,,,1,1,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,1,#HenryIV_1H4
c,,, ,,,,,,,1,1,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,1,
w,,1.1.8,hoofs,fs-1h4-0001640,,hoof,#n2,,,1,1,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,1,#HenryIV_1H4
l,,1.1.9,,ftln-0009,,,,,,1,1,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,1,#HenryIV_1H4
w,,1.1.9,Of,fs-1h4-0001650,,of,#acp-p,,,1,1,#ATTENDANTS_1H4 #Bedford_H5 #HenryIV_1H4 #Westmoreland_1H4,1,#HenryIV_1H4
