tag,type,n,text,xml:id,who,ana,lemma,part,prev,rendition,act,scene,onstage,stagegroup_raw,speaker
c,,, ,,,,,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,
w,,1.1.2,lord,fs-mm-0000280,,#n1,lord,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,#Escalus_MM
pc,,1.1.2,.,fs-mm-0000290,,,,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,#Escalus_MM
sp,,,,sp-0003,{'#Duke_MM'},,,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,#Duke_MM
l,,1.1.3,,ftln-0003,,,,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,#Duke_MM
w,,1.1.3,Of,fs-mm-0000310,,#acp-p,of,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,#Duke_MM
c,,, ,,,,,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,
w,,1.1.3,government,fs-mm-0000330,,#n1,government,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,#Duke_MM
c,,, ,,,,,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,
w,,1.1.3,the,fs-mm-0000350,,#d,the,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,#Duke_MM
c,,, ,,,,,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,
w,,1.1.3,properties,fs-mm-0000370,,#n2,property,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,#Duke_MM
c,,, ,,,,,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,
w,,1.1.3,to,fs-mm-0000390,,#acp-cs,to,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,#Duke_MM
c,,, ,,,,,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,
w,,1.1.3,unfold,fs-mm-0000410,,#vvi,unfold,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,#Duke_MM
l,,1.1.4,,ftln-0004,,,,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,#Duke_MM
w,,1.1.4,Would,fs-mm-0000420,,#vmd,will,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,#Duke_MM
c,,, ,,,,,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,
w,,1.1.4,seem,fs-mm-0000440,,#vvi,seem,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,#Duke_MM
c,,, ,,,,,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,
w,,1.1.4,in,fs-mm-0000460,,#acp-p,in,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,#Duke_MM
c,,, ,,,,,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,
w,,1.1.4,me,fs-mm-0000480,,#pno,i,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,#Duke_MM
c,,, ,,,,,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,
w,,1.1.4,t’,fs-mm-0000500,,#acp-cs,to,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,#Duke_MM
c,,, ,,,,,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,
w,,1.1.4,affect,fs-mm-0000520,,#vvi,affect,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,#Duke_MM
c,,, ,,,,,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,
w,,1.1.4,speech,fs-mm-0000540,,#n1,speech,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,#Duke_MM
c,,, ,,,,,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,
w,,1.1.4,and,fs-mm-0000560,,#cc,and,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,#Duke_MM
c,,, ,,,,,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,
w,,1.1.4,discourse,fs-mm-0000580,,#n1,discourse,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,#Duke_MM
pc,,1.1.4,",",fs-mm-0000590,,,,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,#Duke_MM
l,,1.1.5,,ftln-0005,,,,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,#Duke_MM
w,,1.1.5,Since,fs-mm-0000600,,#acp-cs,since,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,#Duke_MM
c,,, ,,,,,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,
w,,1.1.5,I,fs-mm-0000620,,#pns,i,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,#Duke_MM
c,,, ,,,,,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,
w,,1.1.5,am,fs-mm-0000640,,#vvm,be,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,#Duke_MM
c,,, ,,,,,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,
w,,1.1.5,put,fs-mm-0000660,,#vvn,put,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,#Duke_MM
c,,, ,,,,,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,
w,,1.1.5,to,fs-mm-0000680,,#acp-cs,to,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,#Duke_MM
c,,, ,,,,,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,
w,,1.1.5,know,fs-mm-0000700,,#vvi,know,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,#Duke_MM
c,,, ,,,,,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,
w,,1.1.5,that,fs-mm-0000720,,#cs,that,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,#Duke_MM
c,,, ,,,,,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,
w,,1.1.5,your,fs-mm-0000740,,#po,your,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,#Duke_MM
c,,, ,,,,,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,
w,,1.1.5,own,fs-mm-0000760,,#d,own,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,#Duke_MM
c,,, ,,,,,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,
w,,1.1.5,science,fs-mm-0000780,,#n1,science,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,#Duke_MM
l,,1.1.6,,ftln-0006,,,,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,#Duke_MM
w,,1.1.6,Exceeds,fs-mm-0000790,,#vvz,exceed,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,#Duke_MM
pc,,1.1.6,",",fs-mm-0000800,,,,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,#Duke_MM
c,,, ,,,,,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,
w,,1.1.6,in,fs-mm-0000820,,#acp-p,in,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,#Duke_MM
c,,, ,,,,,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,
w,,1.1.6,that,fs-mm-0000840,,#d,that,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,#Duke_MM
pc,,1.1.6,",",fs-mm-0000850,,,,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,#Duke_MM
c,,, ,,,,,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,
w,,1.1.6,the,fs-mm-0000870,,#d,the,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,#Duke_MM
c,,, ,,,,,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,
w,,1.1.6,lists,fs-mm-0000890,,#n2,list,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,#Duke_MM
c,,, ,,,,,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,
w,,1.1.6,of,fs-mm-0000910,,#acp-p,of,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,#Duke_MM
c,,, ,,,,,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,
w,,1.1.6,all,fs-mm-0000930,,#d,all,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,#Duke_MM
c,,, ,,,,,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,
w,,1.1.6,advice,fs-mm-0000950,,#n1,advice,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,#Duke_MM
l,,1.1.7,,ftln-0007,,,,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,#Duke_MM
w,,1.1.7,My,fs-mm-0000960,,#po,my,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,#Duke_MM
c,,, ,,,,,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,
w,,1.1.7,strength,fs-mm-0000980,,#n1,strength,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,#Duke_MM
c,,, ,,,,,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,
w,,1.1.7,can,fs-mm-0001000,,#vmb,can,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,#Duke_MM
c,,, ,,,,,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,
w,,1.1.7,give,fs-mm-0001020,,#vvi,give,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,#Duke_MM
c,,, ,,,,,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,
w,,1.1.7,you,fs-mm-0001040,,#pn,you,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,#Duke_MM
pc,,1.1.7,.,fs-mm-0001050,,,,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,#Duke_MM
c,,, ,,,,,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,
w,,1.1.7,Then,fs-mm-0001070,,#av,then,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,#Duke_MM
c,,, ,,,,,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,
w,,1.1.7,no,fs-mm-0001090,,#av-x_d,no,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,#Duke_MM
c,,, ,,,,,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,
w,,1.1.7,more,fs-mm-0001110,,#av-c_d,more,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,#Duke_MM
c,,, ,,,,,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,
w,,1.1.7,remains,fs-mm-0001130,,#vvz,remain,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,#Duke_MM
l,,1.1.8,,ftln-0008,,,,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,#Duke_MM
w,,1.1.8,But,fs-mm-0001140,,#acp-cc,but,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,#Duke_MM
c,,, ,,,,,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,
w,,1.1.8,that,fs-mm-0001160,,#d,that,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,#Duke_MM
pc,,1.1.8,",",fs-mm-0001170,,,,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,#Duke_MM
c,,, ,,,,,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,
w,,1.1.8,to,fs-mm-0001190,,#acp-p,to,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,#Duke_MM
c,,, ,,,,,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,
w,,1.1.8,your,fs-mm-0001210,,#po,your,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,#Duke_MM
c,,, ,,,,,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,
w,,1.1.8,sufficiency,fs-mm-0001230,,#n1,sufficiency,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,#Duke_MM
pc,,1.1.8,",",fs-mm-0001240,,,,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,#Duke_MM
c,,, ,,,,,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,
w,,1.1.8,as,fs-mm-0001260,,#acp-cs,as,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,#Duke_MM
c,,, ,,,,,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,
w,,1.1.8,your,fs-mm-0001280,,#po,your,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,#Duke_MM
c,,, ,,,,,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,
w,,1.1.8,worth,fs-mm-0001300,,#n1,worth,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,#Duke_MM
c,,, ,,,,,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,
w,,1.1.8,is,fs-mm-0001320,,#vvz,be,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,#Duke_MM
c,,, ,,,,,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,
w,,1.1.8,able,fs-mm-0001340,,#j,able,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,#Duke_MM
pc,,1.1.8,",",fs-mm-0001350,,,,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,#Duke_MM
l,,1.1.9,,ftln-0009,,,,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,#Duke_MM
w,,1.1.9,And,fs-mm-0001360,,#cc,and,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,#Duke_MM
c,,, ,,,,,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,
w,,1.1.9,let,fs-mm-0001380,,#vvb,let,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,#Duke_MM
c,,, ,,,,,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,
w,,1.1.9,them,fs-mm-0001400,,#pno,they,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,#Duke_MM
c,,, ,,,,,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,
w,,1.1.9,work,fs-mm-0001420,,#vvi,work,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,#Duke_MM
pc,,1.1.9,.,fs-mm-0001430,,,,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,#Duke_MM
c,,, ,,,,,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,
w,,1.1.9,The,fs-mm-0001450,,#d,the,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,#Duke_MM
c,,, ,,,,,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,
w,,1.1.9,nature,fs-mm-0001470,,#n1,nature,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,#Duke_MM
c,,, ,,,,,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,
w,,1.1.9,of,fs-mm-0001490,,#acp-p,of,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,#Duke_MM
c,,, ,,,,,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,
w,,1.1.9,our,fs-mm-0001510,,#po,our,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,#Duke_MM
c,,, ,,,,,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,
w,,1.1.9,people,fs-mm-0001530,,#n1,people,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,#Duke_MM
pc,,1.1.9,",",fs-mm-0001540,,,,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,#Duke_MM
l,,1.1.10,,ftln-0010,,,,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,#Duke_MM
w,,1.1.10,Our,fs-mm-0001550,,#po,our,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,#Duke_MM
c,,, ,,,,,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,
w,,1.1.10,city’s,fs-mm-0001570,,#n1g,city,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,#Duke_MM
c,,, ,,,,,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,
w,,1.1.10,institutions,fs-mm-0001590,,#n2,institution,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,#Duke_MM
pc,,1.1.10,",",fs-mm-0001600,,,,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,#Duke_MM
c,,, ,,,,,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,
w,,1.1.10,and,fs-mm-0001620,,#cc,and,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,#Duke_MM
c,,, ,,,,,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,
w,,1.1.10,the,fs-mm-0001640,,#d,the,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,#Duke_MM
c,,, ,,,,,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,
w,,1.1.10,terms,fs-mm-0001660,,#n2,term,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,#Duke_MM
l,,1.1.11,,ftln-0011,,,,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,#Duke_MM
w,,1.1.11,For,fs-mm-0001670,,#acp-p,for,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,#Duke_MM
c,,, ,,,,,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,
w,,1.1.11,common,fs-mm-0001690,,#j,common,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,#Duke_MM
c,,, ,,,,,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,
w,,1.1.11,justice,fs-mm-0001710,,#n1,justice,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,#Duke_MM
pc,,1.1.11,",",fs-mm-0001720,,,,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,#Duke_MM
c,,, ,,,,,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,
w,,1.1.11,you’re,fs-mm-0001740,,#pn|vvb,you|be,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,#Duke_MM
c,,, ,,,,,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,
w,,1.1.11,as,fs-mm-0001760,,#acp-av,as,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,#Duke_MM
c,,, ,,,,,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,
w,,1.1.11,pregnant,fs-mm-0001780,,#j,pregnant,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,#Duke_MM
c,,, ,,,,,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,
w,,1.1.11,in,fs-mm-0001800,,#acp-p,in,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,#Duke_MM
l,,1.1.12,,ftln-0012,,,,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,#Duke_MM
w,,1.1.12,As,fs-mm-0001810,,#acp-cs,as,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,#Duke_MM
c,,, ,,,,,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,
w,,1.1.12,art,fs-mm-0001830,,#n1,art,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,#Duke_MM
c,,, ,,,,,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,
w,,1.1.12,and,fs-mm-0001850,,#cc,and,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,#Duke_MM
c,,, ,,,,,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,
w,,1.1.12,practice,fs-mm-0001870,,#n1,practice,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,#Duke_MM
c,,, ,,,,,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,
w,,1.1.12,hath,fs-mm-0001890,,#vvz,have,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,#Duke_MM
c,,, ,,,,,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,
w,,1.1.12,enrichèd,fs-mm-0001910,,#vvn,enrich,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,#Duke_MM
c,,, ,,,,,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,
w,,1.1.12,any,fs-mm-0001930,,#d,any,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,#Duke_MM
l,,1.1.13,,ftln-0013,,,,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,#Duke_MM
w,,1.1.13,That,fs-mm-0001940,,#cs,that,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,#Duke_MM
c,,, ,,,,,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,
w,,1.1.13,we,fs-mm-0001960,,#pns,we,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,#Duke_MM
c,,, ,,,,,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,
w,,1.1.13,remember,fs-mm-0001980,,#vvb,remember,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,#Duke_MM
pc,,1.1.13,.,fs-mm-0001990,,,,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,#Duke_MM
c,,, ,,,,,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,
w,,1.1.13,There,fs-mm-0002010,,#acp-av,there,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,#Duke_MM
c,,, ,,,,,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,
w,,1.1.13,is,fs-mm-0002030,,#vvz,be,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,#Duke_MM
c,,, ,,,,,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,
w,,1.1.13,our,fs-mm-0002050,,#po,our,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,#Duke_MM
c,,, ,,,,,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,
w,,1.1.13,commission,fs-mm-0002070,,#n1,commission,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,#Duke_MM
pc,,1.1.13,",",fs-mm-0002080,,,,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,#Duke_MM
stage,business,SD 1.1.13.1,,stg-0013.1,"{'#Escalus_MM', '#Duke_MM'}",,,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,#Duke_MM
w,,SD 1.1.13.1,He,fs-mm-0002090,,,,,,,1,1,#ATTENDANTS_MM #Duke_MM #Escalus_MM,1,#Duke_MM
