tag,type,n,text,xml:id,who,lemma,ana,rendition,part,prev,next,act,scene,onstage,stagegroup_raw,speaker
w,,1.CHO.4,your,fs-per-0000570,,your,#po,,,,,1,0,#Gower_Per,1,#Gower_Per
c,,, ,,,,,,,,,1,0,#Gower_Per,1,
w,,1.CHO.4,eyes,fs-per-0000590,,eye,#n2,,,,,1,0,#Gower_Per,1,#Gower_Per
pc,,1.CHO.4,.,fs-per-0000600,,,,,,,,1,0,#Gower_Per,1,#Gower_Per
l,,1.CHO.5,,ftln-0005,,,,,,,,1,0,#Gower_Per,1,#Gower_Per
w,,1.CHO.5,It,fs-per-0000610,,it,#pn,,,,,1,0,#Gower_Per,1,#Gower_Per
c,,, ,,,,,,,,,1,0,#Gower_Per,1,
w,,1.CHO.5,hath,fs-per-0000630,,have,#vvz,,,,,1,0,#Gower_Per,1,#Gower_Per
c,,, ,,,,,,,,,1,0,#Gower_Per,1,
w,,1.CHO.5,been,fs-per-0000650,,be,#vvn,,,,,1,0,#Gower_Per,1,#Gower_Per
c,,, ,,,,,,,,,1,0,#Gower_Per,1,
w,,1.CHO.5,sung,fs-per-0000670,,sing,#vvn,,,,,1,0,#Gower_Per,1,#Gower_Per
c,,, ,,,,,,,,,1,0,#Gower_Per,1,
w,,1.CHO.5,at,fs-per-0000690,,at,#acp-p,,,,,1,0,#Gower_Per,1,#Gower_Per
c,,, ,,,,,,,,,1,0,#Gower_Per,1,
w,,1.CHO.5,festivals,fs-per-0000710,,festival,#n2,,,,,1,0,#Gower_Per,1,#Gower_Per
pc,,1.CHO.5,",",fs-per-0000720,,,,,,,,1,0,#Gower_Per,1,#Gower_Per
l,,1.CHO.6,,ftln-0006,,,,,,,,1,0,#Gower_Per,1,#Gower_Per
w,,1.CHO.6,On,fs-per-0000730,,on,#acp-p,,,,,1,0,#Gower_Per,1,#Gower_Per
c,,, ,,,,,,,,,1,0,#Gower_Per,1,
w,,1.CHO.6,ember,fs-per-0000750,,ember,#n1,,,,,1,0,#Gower_Per,1,#Gower_Per
c,,, ,,,,,,,,,1,0,#Gower_Per,1,
w,,1.CHO.6,eves,fs-per-0000770,,eve,#n2,,,,,1,0,#Gower_Per,1,#Gower_Per
c,,, ,,,,,,,,,1,0,#Gower_Per,1,
w,,1.CHO.6,and,fs-per-0000790,,and,#cc,,,,,1,0,#Gower_Per,1,#Gower_Per
c,,, ,,,,,,,,,1,0,#Gower_Per,1,
w,,1.CHO.6,holy,fs-per-0000810,,holy,#j,,,,,1,0,#Gower_Per,1,#Gower_Per
c,,, ,,,,,,,,,1,0,#Gower_Per,1,
w,,1.CHO.6,days,fs-per-0000830,,day,#n2,,,,,1,0,#Gower_Per,1,#Gower_Per
pc,,1.CHO.6,",",fs-per-0000840,,,,,,,,1,0,#Gower_Per,1,#Gower_Per
l,,1.CHO.7,,ftln-0007,,,,,,,,1,0,#Gower_Per,1,#Gower_Per
w,,1.CHO.7,And,fs-per-0000850,,and,#cc,,,,,1,0,#Gower_Per,1,#Gower_Per
c,,, ,,,,,,,,,1,0,#Gower_Per,1,
w,,1.CHO.7,lords,fs-per-0000870,,lord,#n2,,,,,1,0,#Gower_Per,1,#Gower_Per
c,,, ,,,,,,,,,1,0,#Gower_Per,1,
w,,1.CHO.7,and,fs-per-0000890,,and,#cc,,,,,1,0,#Gower_Per,1,#Gower_Per
c,,, ,,,,,,,,,1,0,#Gower_Per,1,
w,,1.CHO.7,ladies,fs-per-0000910,,lady,#n2,,,,,1,0,#Gower_Per,1,#Gower_Per
c,,, ,,,,,,,,,1,0,#Gower_Per,1,
w,,1.CHO.7,in,fs-per-0000930,,in,#acp-p,,,,,1,0,#Gower_Per,1,#Gower_Per
c,,, ,,,,,,,,,1,0,#Gower_Per,1,
w,,1.CHO.7,their,fs-per-0000950,,their,#po,,,,,1,0,#Gower_Per,1,#Gower_Per
c,,, ,,,,,,,,,1,0,#Gower_Per,1,
w,,1.CHO.7,lives,fs-per-0000970,,life,#n2,,,,,1,0,#Gower_Per,1,#Gower_Per
l,,1.CHO.8,,ftln-0008,,,,,,,,1,0,#Gower_Per,1,#Gower_Per
w,,1.CHO.8,Have,fs-per-0000980,,have,#vvb,,,,,1,0,#Gower_Per,1,#Gower_Per
c,,, ,,,,,,,,,1,0,#Gower_Per,1,
w,,1.CHO.8,read,fs-per-0001000,,read,#vvn,,,,,1,0,#Gower_Per,1,#Gower_Per
c,,, ,,,,,,,,,1,0,#Gower_Per,1,
w,,1.CHO.8,it,fs-per-0001020,,it,#pn,,,,,1,0,#Gower_Per,1,#Gower_Per
c,,, ,,,,,,,,,1,0,#Gower_Per,1,
w,,1.CHO.8,for,fs-per-0001040,,for,#acp-p,,,,,1,0,#Gower_Per,1,#Gower_Per
c,,, ,,,,,,,,,1,0,#Gower_Per,1,
w,,1.CHO.8,restoratives,fs-per-0001060,,restorative,#n2,,,,,1,0,#Gower_Per,1,#Gower_Per
pc,,1.CHO.8,.,fs-per-0001070,,,,,,,,1,0,#Gower_Per,1,#Gower_Per
l,,1.CHO.9,,ftln-0009,,,,,,,,1,0,#Gower_Per,1,#Gower_Per
w,,1.CHO.9,The,fs-per-0001080,,the,#d,,,,,1,0,#Gower_Per,1,#Gower_Per
c,,, ,,,,,,,,,1,0,#Gower_Per,1,
w,,1.CHO.9,purchase,fs-per-0001100,,purchase,#n1,,,,,1,0,#Gower_Per,1,#Gower_Per
c,,, ,,,,,,,,,1,0,#Gower_Per,1,
w,,1.CHO.9,is,fs-per-0001120,,be,#vvz,,,,,1,0,#Gower_Per,1,#Gower_Per
c,,, ,,,,,,,,,1,0,#Gower_Per,1,
w,,1.CHO.9,to,fs-per-0001140,,to,#acp-cs,,,,,1,0,#Gower_Per,1,#Gower_Per
c,,, ,,,,,,,,,1,0,#Gower_Per,1,
w,,1.CHO.9,make,fs-per-0001160,,make,#vvi,,,,,1,0,#Gower_Per,1,#Gower_Per
c,,, ,,,,,,,,,1,0,#Gower_Per,1,
w,,1.CHO.9,men,fs-per-0001180,,man,#n2,,,,,1,0,#Gower_Per,1,#Gower_Per
c,,, ,,,,,,,,,1,0,#Gower_Per,1,
w,,1.CHO.9,glorious,fs-per-0001200,,glorious,#j,,,,,1,0,#Gower_Per,1,#Gower_Per
pc,,1.CHO.9,",",fs-per-0001210,,,,,,,,1,0,#Gower_Per,1,#Gower_Per
l,,1.CHO.10,,ftln-0010,,,,,,,,1,0,#Gower_Per,1,#Gower_Per
w,,1.CHO.10,Et,fs-per-0001220,,et,#fw-la,,,,,1,0,#Gower_Per,1,#Gower_Per
c,,, ,,,,,,,,,1,0,#Gower_Per,1,
w,,1.CHO.10,bonum,fs-per-0001240,,bonum,#fw-la,,,,,1,0,#Gower_Per,1,#Gower_Per
c,,, ,,,,,,,,,1,0,#Gower_Per,1,
w,,1.CHO.10,quo,fs-per-0001260,,quo,#fw-la,,,,,1,0,#Gower_Per,1,#Gower_Per
c,,, ,,,,,,,,,1,0,#Gower_Per,1,
w,,1.CHO.10,antiquius,fs-per-0001280,,antiquus,#fw-la,,,,,1,0,#Gower_Per,1,#Gower_Per
pc,,1.CHO.10,",",fs-per-0001290,,,,,,,,1,0,#Gower_Per,1,#Gower_Per
c,,, ,,,,,,,,,1,0,#Gower_Per,1,
w,,1.CHO.10,eo,fs-per-0001310,,eo,#fw-la,,,,,1,0,#Gower_Per,1,#Gower_Per
c,,, ,,,,,,,,,1,0,#Gower_Per,1,
w,,1.CHO.10,melius,fs-per-0001330,,melius,#fw-la,,,,,1,0,#Gower_Per,1,#Gower_Per
pc,,1.CHO.10,.,fs-per-0001340,,,,,,,,1,0,#Gower_Per,1,#Gower_Per
l,,1.CHO.11,,ftln-0011,,,,,,,,1,0,#Gower_Per,1,#Gower_Per
w,,1.CHO.11,If,fs-per-0001350,,if,#cs,,,,,1,0,#Gower_Per,1,#Gower_Per
c,,, ,,,,,,,,,1,0,#Gower_Per,1,
w,,1.CHO.11,you,fs-per-0001370,,you,#pn,,,,,1,0,#Gower_Per,1,#Gower_Per
pc,,1.CHO.11,",",fs-per-0001380,,,,,,,,1,0,#Gower_Per,1,#Gower_Per
c,,, ,,,,,,,,,1,0,#Gower_Per,1,
w,,1.CHO.11,born,fs-per-0001400,,bear,#vvn,,,,,1,0,#Gower_Per,1,#Gower_Per
c,,, ,,,,,,,,,1,0,#Gower_Per,1,
w,,1.CHO.11,in,fs-per-0001420,,in,#acp-p,,,,,1,0,#Gower_Per,1,#Gower_Per
c,,, ,,,,,,,,,1,0,#Gower_Per,1,
w,,1.CHO.11,these,fs-per-0001440,,these,#d,,,,,1,0,#Gower_Per,1,#Gower_Per
c,,, ,,,,,,,,,1,0,#Gower_Per,1,
w,,1.CHO.11,latter,fs-per-0001460,,latter,#d,,,,,1,0,#Gower_Per,1,#Gower_Per
c,,, ,,,,,,,,,1,0,#Gower_Per,1,
w,,1.CHO.11,times,fs-per-0001480,,time,#n2,,,,,1,0,#Gower_Per,1,#Gower_Per
l,,1.CHO.12,,ftln-0012,,,,,,,,1,0,#Gower_Per,1,#Gower_Per
w,,1.CHO.12,When,fs-per-0001490,,when,#crq-cs,,,,,1,0,#Gower_Per,1,#Gower_Per
c,,, ,,,,,,,,,1,0,#Gower_Per,1,
w,,1.CHO.12,wit’s,fs-per-0001510,,wit|be,#n1|vvz,,,,,1,0,#Gower_Per,1,#Gower_Per
c,,, ,,,,,,,,,1,0,#Gower_Per,1,
w,,1.CHO.12,more,fs-per-0001530,,more,#av-c_d,,,,,1,0,#Gower_Per,1,#Gower_Per
c,,, ,,,,,,,,,1,0,#Gower_Per,1,
w,,1.CHO.12,ripe,fs-per-0001550,,ripe,#j,,,,,1,0,#Gower_Per,1,#Gower_Per
pc,,1.CHO.12,",",fs-per-0001560,,,,,,,,1,0,#Gower_Per,1,#Gower_Per
c,,, ,,,,,,,,,1,0,#Gower_Per,1,
w,,1.CHO.12,accept,fs-per-0001580,,accept,#vvb,,,,,1,0,#Gower_Per,1,#Gower_Per
c,,, ,,,,,,,,,1,0,#Gower_Per,1,
w,,1.CHO.12,my,fs-per-0001600,,my,#po,,,,,1,0,#Gower_Per,1,#Gower_Per
c,,, ,,,,,,,,,1,0,#Gower_Per,1,
w,,1.CHO.12,rhymes,fs-per-0001620,,rhyme,#n2,,,,,1,0,#Gower_Per,1,#Gower_Per
pc,,1.CHO.12,",",fs-per-0001630,,,,,,,,1,0,#Gower_Per,1,#Gower_Per
l,,1.CHO.13,,ftln-0013,,,,,,,,1,0,#Gower_Per,1,#Gower_Per
w,,1.CHO.13,And,fs-per-0001640,,and,#cc,,,,,1,0,#Gower_Per,1,#Gower_Per
c,,, ,,,,,,,,,1,0,#Gower_Per,1,
w,,1.CHO.13,that,fs-per-0001660,,that,#cs,,,,,1,0,#Gower_Per,1,#Gower_Per
c,,, ,,,,,,,,,1,0,#Gower_Per,1,
w,,1.CHO.13,to,fs-per-0001680,,to,#acp-cs,,,,,1,0,#Gower_Per,1,#Gower_Per
c,,, ,,,,,,,,,1,0,#Gower_Per,1,
w,,1.CHO.13,hear,fs-per-0001700,,hear,#vvi,,,,,1,0,#Gower_Per,1,#Gower_Per
c,,, ,,,,,,,,,1,0,#Gower_Per,1,
w,,1.CHO.13,an,fs-per-0001720,,a,#d,,,,,1,0,#Gower_Per,1,#Gower_Per
c,,, ,,,,,,,,,1,0,#Gower_Per,1,
w,,1.CHO.13,old,fs-per-0001740,,old,#j,,,,,1,0,#Gower_Per,1,#Gower_Per
c,,, ,,,,,,,,,1,0,#Gower_Per,1,
w,,1.CHO.13,man,fs-per-0001760,,man,#n1,,,,,1,0,#Gower_Per,1,#Gower_Per
c,,, ,,,,,,,,,1,0,#Gower_Per,1,
w,,1.CHO.13,sing,fs-per-0001780,,sing,#vvb,,,,,1,0,#Gower_Per,1,#Gower_Per
l,,1.CHO.14,,ftln-0014,,,,,,,,1,0,#Gower_Per,1,#Gower_Per
w,,1.CHO.14,May,fs-per-0001790,,may,#vmb,,,,,1,0,#Gower_Per,1,#Gower_Per
c,,, ,,,,,,,,,1,0,#Gower_Per,1,
w,,1.CHO.14,to,fs-per-0001810,,to,#acp-p,,,,,1,0,#Gower_Per,1,#Gower_Per
c,,, ,,,,,,,,,1,0,#Gower_Per,1,
w,,1.CHO.14,your,fs-per-0001830,,your,#po,,,,,1,0,#Gower_Per,1,#Gower_Per
c,,, ,,,,,,,,,1,0,#Gower_Per,1,
w,,1.CHO.14,wishes,fs-per-0001850,,wish,#n1g,,,,,1,0,#Gower_Per,1,#Gower_Per
c,,, ,,,,,,,,,1,0,#Gower_Per,1,
w,,1.CHO.14,pleasure,fs-per-0001870,,pleasure,#n1,,,,,1,0,#Gower_Per,1,#Gower_Per
c,,, ,,,,,,,,,1,0,#Gower_Per,1,
w,,1.CHO.14,bring,fs-per-0001890,,bring,#vvi,,,,,1,0,#Gower_Per,1,#Gower_Per
pc,,1.CHO.14,",",fs-per-0001900,,,,,,,,1,0,#Gower_Per,1,#Gower_Per
l,,1.CHO.15,,ftln-0015,,,,,,,,1,0,#Gower_Per,1,#Gower_Per
w,,1.CHO.15,I,fs-per-0001910,,i,#pns,,,,,1,0,#Gower_Per,1,#Gower_Per
c,,, ,,,,,,,,,1,0,#Gower_Per,1,
w,,1.CHO.15,life,fs-per-0001930,,life,#n1,,,,,1,0,#Gower_Per,1,#Gower_Per
c,,, ,,,,,,,,,1,0,#Gower_Per,1,
w,,1.CHO.15,would,fs-per-0001950,,will,#vmd,,,,,1,0,#Gower_Per,1,#Gower_Per
c,,, ,,,,,,,,,1,0,#Gower_Per,1,
w,,1.CHO.15,wish,fs-per-0001970,,wish,#vvi,,,,,1,0,#Gower_Per,1,#Gower_Per
pc,,1.CHO.15,",",fs-per-0001980,,,,,,,,1,0,#Gower_Per,1,#Gower_Per
c,,, ,,,,,,,,,1,0,#Gower_Per,1,
w,,1.CHO.15,and,fs-per-0002000,,and,#cc,,,,,1,0,#Gower_Per,1,#Gower_Per
c,,, ,,,,,,,,,1,0,#Gower_Per,1,
w,,1.CHO.15,that,fs-per-0002020,,that,#cs,,,,,1,0,#Gower_Per,1,#Gower_Per
c,,, ,,,,,,,,,1,0,#Gower_Per,1,
w,,1.CHO.15,I,fs-per-0002040,,i,#pns,,,,,1,0,#Gower_Per,1,#Gower_Per
c,,, ,,,,,,,,,1,0,#Gower_Per,1,
w,,1.CHO.15,might,fs-per-0002060,,may,#vmd,,,,,1,0,#Gower_Per,1,#Gower_Per
l,,1.CHO.16,,ftln-0016,,,,,,,,1,0,#Gower_Per,1,#Gower_Per
w,,1.CHO.16,Waste,fs-per-0002070,,waste,#vvi,,,,,1,0,#Gower_Per,1,#Gower_Per
c,,, ,,,,,,,,,1,0,#Gower_Per,1,
w,,1.CHO.16,it,fs-per-0002090,,it,#pn,,,,,1,0,#Gower_Per,1,#Gower_Per
c,,, ,,,,,,,,,1,0,#Gower_Per,1,
w,,1.CHO.16,for,fs-per-0002110,,for,#acp-p,,,,,1,0,#Gower_Per,1,#Gower_Per
c,,, ,,,,,,,,,1,0,#Gower_Per,1,
w,,1.CHO.16,you,fs-per-0002130,,you,#pn,,,,,1,0,#Gower_Per,1,#Gower_Per
c,,, ,,,,,,,,,1,0,#Gower_Per,1,
w,,1.CHO.16,like,fs-per-0002150,,like,#acp-p,,,,,1,0,#Gower_Per,1,#Gower_Per
c,,, ,,,,,,,,,1,0,#Gower_Per,1,
w,,1.CHO.16,taper,fs-per-0002170,,taper,#n1,,,,,1,0,#Gower_Per,1,#Gower_Per
c,,, ,,,,,,,,,1,0,#Gower_Per,1,
w,,1.CHO.16,light,fs-per-0002190,,light,#n1,,,,,1,0,#Gower_Per,1,#Gower_Per
pc,,1.CHO.16,.,fs-per-0002200,,,,,,,,1,0,#Gower_Per,1,#Gower_Per
l,,1.CHO.17,,ftln-0017,,,,,,,,1,0,#Gower_Per,1,#Gower_Per
w,,1.CHO.17,This,fs-per-0002210,,this,#d,,,,,1,0,#Gower_Per,1,#Gower_Per
c,,, ,,,,,,,,,1,0,#Gower_Per,1,
w,,1.CHO.17,Antioch,fs-per-0002230,,Antioch,#n1-nn,,,,,1,0,#Gower_Per,1,#Gower_Per
pc,,1.CHO.17,",",fs-per-0002240,,,,,,,,1,0,#Gower_Per,1,#Gower_Per
c,,, ,,,,,,,,,1,0,#Gower_Per,1,
w,,1.CHO.17,then,fs-per-0002260,,then,#av,,,,,1,0,#Gower_Per,1,#Gower_Per
pc,,1.CHO.17,:,fs-per-0002270,,,,,,,,1,0,#Gower_Per,1,#Gower_Per
c,,, ,,,,,,,,,1,0,#Gower_Per,1,
w,,1.CHO.17,Antiochus,fs-per-0002290,,Antiochus,#n1-nn,,,,,1,0,#Gower_Per,1,#Gower_Per
c,,, ,,,,,,,,,1,0,#Gower_Per,1,
w,,1.CHO.17,the,fs-per-0002310,,the,#d,,,,,1,0,#Gower_Per,1,#Gower_Per
c,,, ,,,,,,,,,1,0,#Gower_Per,1,
w,,1.CHO.17,Great,fs-per-0002330,,great,#j,,,,,1,0,#Gower_Per,1,#Gower_Per
l,,1.CHO.18,,ftln-0018,,,,,,,,1,0,#Gower_Per,1,#Gower_Per
w,,1.CHO.18,Built,fs-per-0002340,,build,#vvd,,,,,1,0,#Gower_Per,1,#Gower_Per
c,,, ,,,,,,,,,1,0,#Gower_Per,1,
w,,1.CHO.18,up,fs-per-0002360,,up,#acp-av,,,,,1,0,#Gower_Per,1,#Gower_Per
c,,, ,,,,,,,,,1,0,#Gower_Per,1,
w,,1.CHO.18,this,fs-per-0002380,,this,#d,,,,,1,0,#Gower_Per,1,#Gower_Per
c,,, ,,,,,,,,,1,0,#Gower_Per,1,
w,,1.CHO.18,city,fs-per-0002400,,city,#n1,,,,,1,0,#Gower_Per,1,#Gower_Per
c,,, ,,,,,,,,,1,0,#Gower_Per,1,
w,,1.CHO.18,for,fs-per-0002420,,for,#acp-p,,,,,1,0,#Gower_Per,1,#Gower_Per
c,,, ,,,,,,,,,1,0,#Gower_Per,1,
w,,1.CHO.18,his,fs-per-0002440,,his,#po,,,,,1,0,#Gower_Per,1,#Gower_Per
c,,, ,,,,,,,,,1,0,#Gower_Per,1,
w,,1.CHO.18,chiefest,fs-per-0002460,,chief,#j-s,,,,,1,0,#Gower_Per,1,#Gower_Per
c,,, ,,,,,,,,,1,0,#Gower_Per,1,
w,,1.CHO.18,seat,fs-per-0002480,,seat,#n1,,,,,1,0,#Gower_Per,1,#Gower_Per
pc,,1.CHO.18,",",fs-per-0002490,,,,,,,,1,0,#Gower_Per,1,#Gower_Per
l,,1.CHO.19,,ftln-0019,,,,,,,,1,0,#Gower_Per,1,#Gower_Per
w,,1.CHO.19,The,fs-per-0002500,,the,#d,,,,,1,0,#Gower_Per,1,#Gower_Per
c,,, ,,,,,,,,,1,0,#Gower_Per,1,
w,,1.CHO.19,fairest,fs-per-0002520,,fair,#j-s,,,,,1,0,#Gower_Per,1,#Gower_Per
c,,, ,,,,,,,,,1,0,#Gower_Per,1,
w,,1.CHO.19,in,fs-per-0002540,,in,#acp-p,,,,,1,0,#Gower_Per,1,#Gower_Per
c,,, ,,,,,,,,,1,0,#Gower_Per,1,
w,,1.CHO.19,all,fs-per-0002560,,all,#d,,,,,1,0,#Gower_Per,1,#Gower_Per
c,,, ,,,,,,,,,1,0,#Gower_Per,1,
w,,1.CHO.19,Syria,fs-per-0002580,,Syria,#n1-nn,,,,,1,0,#Gower_Per,1,#Gower_Per
pc,,1.CHO.19,.,fs-per-0002590,,,,,,,,1,0,#Gower_Per,1,#Gower_Per
l,,1.CHO.20,,ftln-0020,,,,,,,,1,0,#Gower_Per,1,#Gower_Per
w,,1.CHO.20,I,fs-per-0002600,,i,#pns,,,,,1,0,#Gower_Per,1,#Gower_Per
c,,, ,,,,,,,,,1,0,#Gower_Per,1,
w,,1.CHO.20,tell,fs-per-0002620,,tell,#vvb,,,,,1,0,#Gower_Per,1,#Gower_Per
c,,, ,,,,,,,,,1,0,#Gower_Per,1,
w,,1.CHO.20,you,fs-per-0002640,,you,#pn,,,,,1,0,#Gower_Per,1,#Gower_Per
c,,, ,,,,,,,,,1,0,#Gower_Per,1,
w,,1.CHO.20,what,fs-per-0002660,,what,#crq-r,,,,,1,0,#Gower_Per,1,#Gower_Per
c,,, ,,,,,,,,,1,0,#Gower_Per,1,
w,,1.CHO.20,mine,fs-per-0002680,,my,#po,,,,,1,0,#Gower_Per,1,#Gower_Per
c,,, ,,,,,,,,,1,0,#Gower_Per,1,
w,,1.CHO.20,authors,fs-per-0002700,,author,#n2,,,,,1,0,#Gower_Per,1,#Gower_Per
c,,, ,,,,,,,,,1,0,#Gower_Per,1,
w,,1.CHO.20,say,fs-per-0002720,,say,#vvb,,,,,1,0,#Gower_Per,1,#Gower_Per
pc,,1.CHO.20,.,fs-per-0002730,,,,,,,,1,0,#Gower_Per,1,#Gower_Per
l,,1.CHO.21,,ftln-0021,,,,,,,,1,0,#Gower_Per,1,#Gower_Per
w,,1.CHO.21,This,fs-per-0002740,,this,#d,,,,,1,0,#Gower_Per,1,#Gower_Per
c,,, ,,,,,,,,,1,0,#Gower_Per,1,
w,,1.CHO.21,king,fs-per-0002760,,king,#n1,,,,,1,0,#Gower_Per,1,#Gower_Per
c,,, ,,,,,,,,,1,0,#Gower_Per,1,
w,,1.CHO.21,unto,fs-per-0002780,,unto,#acp-p,,,,,1,0,#Gower_Per,1,#Gower_Per
c,,, ,,,,,,,,,1,0,#Gower_Per,1,
w,,1.CHO.21,him,fs-per-0002800,,he,#pno,,,,,1,0,#Gower_Per,1,#Gower_Per
c,,, ,,,,,,,,,1,0,#Gower_Per,1,
w,,1.CHO.21,took,fs-per-0002820,,take,#vvd,,,,,1,0,#Gower_Per,1,#Gower_Per
c,,, ,,,,,,,,,1,0,#Gower_Per,1,
w,,1.CHO.21,a,fs-per-0002840,,a,#d,,,,,1,0,#Gower_Per,1,#Gower_Per
c,,, ,,,,,,,,,1,0,#Gower_Per,1,
w,,1.CHO.21,peer,fs-per-0002860,,peer,#n1,,,,,1,0,#Gower_Per,1,#Gower_Per
pc,,1.CHO.21,",",fs-per-0002870,,,,,,,,1,0,#Gower_Per,1,#Gower_Per
l,,1.CHO.22,,ftln-0022,,,,,,,,1,0,#Gower_Per,1,#Gower_Per
w,,1.CHO.22,Who,fs-per-0002880,,who,#crq-r,,,,,1,0,#Gower_Per,1,#Gower_Per
c,,, ,,,,,,,,,1,0,#Gower_Per,1,
w,,1.CHO.22,died,fs-per-0002900,,die,#vvd,,,,,1,0,#Gower_Per,1,#Gower_Per
c,,, ,,,,,,,,,1,0,#Gower_Per,1,
