tag,type,n,text,xml:id,who,lemma,ana,part,rendition,prev,act,scene,onstage,stagegroup_raw,speaker
l,,1.1.1,,ftln-0001,,,,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,#Theseus_MND
w,,1.1.1,Now,fs-mnd-0000250,,now,#av,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,#Theseus_MND
pc,,1.1.1,",",fs-mnd-0000260,,,,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,#Theseus_MND
c,,, ,,,,,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,
w,,1.1.1,fair,fs-mnd-0000280,,fair,#j,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,#Theseus_MND
c,,, ,,,,,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,
w,,1.1.1,Hippolyta,fs-mnd-0000300,,Hippolyta,#n1-nn,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,#Theseus_MND
pc,,1.1.1,",",fs-mnd-0000310,,,,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,#Theseus_MND
c,,, ,,,,,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,
w,,1.1.1,our,fs-mnd-0000330,,our,#po,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,#Theseus_MND
c,,, ,,,,,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,
w,,1.1.1,nuptial,fs-mnd-0000350,,nuptial,#j,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,#Theseus_MND
c,,, ,,,,,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,
w,,1.1.1,hour,fs-mnd-0000370,,hour,#n1,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,#Theseus_MND
l,,1.1.2,,ftln-0002,,,,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,#Theseus_MND
w,,1.1.2,Draws,fs-mnd-0000380,,draw,#vvz,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,#Theseus_MND
c,,, ,,,,,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,
w,,1.1.2,on,fs-mnd-0000400,,on,#acp-p,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,#Theseus_MND
c,,, ,,,,,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,
w,,1.1.2,apace,fs-mnd-0000420,,apace,#av,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,#Theseus_MND
pc,,1.1.2,.,fs-mnd-0000430,,,,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,#Theseus_MND
c,,, ,,,,,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,
w,,1.1.2,Four,fs-mnd-0000450,,four,#crd,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,#Theseus_MND
c,,, ,,,,,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,
w,,1.1.2,happy,fs-mnd-0000470,,happy,#j,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,#Theseus_MND
c,,, ,,,,,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,
w,,1.1.2,days,fs-mnd-0000490,,day,#n2,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,#Theseus_MND
c,,, ,,,,,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,
w,,1.1.2,bring,fs-mnd-0000510,,bring,#vvb,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,#Theseus_MND
c,,, ,,,,,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,
w,,1.1.2,in,fs-mnd-0000530,,in,#acp-p,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,#Theseus_MND
l,,1.1.3,,ftln-0003,,,,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,#Theseus_MND
w,,1.1.3,Another,fs-mnd-0000540,,another,#d,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,#Theseus_MND
c,,, ,,,,,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,
w,,1.1.3,moon,fs-mnd-0000560,,moon,#n1,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,#Theseus_MND
pc,,1.1.3,.,fs-mnd-0000570,,,,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,#Theseus_MND
c,,, ,,,,,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,
w,,1.1.3,But,fs-mnd-0000590,,but,#acp-cc,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,#Theseus_MND
pc,,1.1.3,",",fs-mnd-0000600,,,,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,#Theseus_MND
c,,, ,,,,,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,
w,,1.1.3,O,fs-mnd-0000620,,oh,#uh,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,#Theseus_MND
pc,,1.1.3,",",fs-mnd-0000630,,,,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,#Theseus_MND
c,,, ,,,,,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,
w,,1.1.3,methinks,fs-mnd-0000650,,methinks,#vvz,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,#Theseus_MND
c,,, ,,,,,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,
w,,1.1.3,how,fs-mnd-0000670,,how,#crq-cs,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,#Theseus_MND
c,,, ,,,,,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,
w,,1.1.3,slow,fs-mnd-0000690,,slow,#j,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,#Theseus_MND
l,,1.1.4,,ftln-0004,,,,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,#Theseus_MND
w,,1.1.4,This,fs-mnd-0000700,,this,#d,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,#Theseus_MND
c,,, ,,,,,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,
w,,1.1.4,old,fs-mnd-0000720,,old,#j,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,#Theseus_MND
c,,, ,,,,,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,
w,,1.1.4,moon,fs-mnd-0000740,,moon,#n1,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,#Theseus_MND
c,,, ,,,,,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,
w,,1.1.4,wanes,fs-mnd-0000760,,wane,#vvz,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,#Theseus_MND
pc,,1.1.4,!,fs-mnd-0000770,,,,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,#Theseus_MND
c,,, ,,,,,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,
w,,1.1.4,She,fs-mnd-0000790,,she,#pns,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,#Theseus_MND
c,,, ,,,,,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,
w,,1.1.4,lingers,fs-mnd-0000810,,linger,#vvz,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,#Theseus_MND
c,,, ,,,,,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,
w,,1.1.4,my,fs-mnd-0000830,,my,#po,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,#Theseus_MND
c,,, ,,,,,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,
w,,1.1.4,desires,fs-mnd-0000850,,desire,#n2,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,#Theseus_MND
l,,1.1.5,,ftln-0005,,,,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,#Theseus_MND
w,,1.1.5,Like,fs-mnd-0000860,,like,#acp-p,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,#Theseus_MND
c,,, ,,,,,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,
w,,1.1.5,to,fs-mnd-0000880,,to,#acp-p,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,#Theseus_MND
c,,, ,,,,,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,
w,,1.1.5,a,fs-mnd-0000900,,a,#d,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,#Theseus_MND
c,,, ,,,,,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,
w,,1.1.5,stepdame,fs-mnd-0000920,,stepdame,#n1,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,#Theseus_MND
c,,, ,,,,,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,
w,,1.1.5,or,fs-mnd-0000940,,or,#cc,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,#Theseus_MND
c,,, ,,,,,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,
w,,1.1.5,a,fs-mnd-0000960,,a,#d,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,#Theseus_MND
c,,, ,,,,,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,
w,,1.1.5,dowager,fs-mnd-0000980,,dowager,#n1,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,#Theseus_MND
l,,1.1.6,,ftln-0006,,,,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,#Theseus_MND
w,,1.1.6,Long,fs-mnd-0000990,,long,#av_j,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,#Theseus_MND
c,,, ,,,,,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,
w,,1.1.6,withering,fs-mnd-0001010,,wither,#vvg,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,#Theseus_MND
c,,, ,,,,,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,
w,,1.1.6,out,fs-mnd-0001030,,out,#av,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,#Theseus_MND
c,,, ,,,,,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,
w,,1.1.6,a,fs-mnd-0001050,,a,#d,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,#Theseus_MND
c,,, ,,,,,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,
w,,1.1.6,young,fs-mnd-0001070,,young,#j,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,#Theseus_MND
c,,, ,,,,,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,
w,,1.1.6,man’s,fs-mnd-0001090,,man,#n1g,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,#Theseus_MND
c,,, ,,,,,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,
w,,1.1.6,revenue,fs-mnd-0001110,,revenue,#n1,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,#Theseus_MND
pc,,1.1.6,.,fs-mnd-0001120,,,,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,#Theseus_MND
sp,,,,sp-0007,{'#Hippolyta_MND'},,,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,#Hippolyta_MND
l,,1.1.7,,ftln-0007,,,,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,#Hippolyta_MND
w,,1.1.7,Four,fs-mnd-0001140,,four,#crd,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,#Hippolyta_MND
c,,, ,,,,,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,
w,,1.1.7,days,fs-mnd-0001160,,day,#n2,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,#Hippolyta_MND
c,,, ,,,,,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,
w,,1.1.7,will,fs-mnd-0001180,,will,#vmb,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,#Hippolyta_MND
c,,, ,,,,,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,
w,,1.1.7,quickly,fs-mnd-0001200,,quick,#av_j,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,#Hippolyta_MND
c,,, ,,,,,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,
w,,1.1.7,steep,fs-mnd-0001220,,steep,#vvi,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,#Hippolyta_MND
c,,, ,,,,,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,
w,,1.1.7,themselves,fs-mnd-0001240,,themselves,#px,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,#Hippolyta_MND
c,,, ,,,,,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,
w,,1.1.7,in,fs-mnd-0001260,,in,#acp-p,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,#Hippolyta_MND
c,,, ,,,,,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,
w,,1.1.7,night,fs-mnd-0001280,,night,#n1,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,#Hippolyta_MND
pc,,1.1.7,;,fs-mnd-0001290,,,,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,#Hippolyta_MND
l,,1.1.8,,ftln-0008,,,,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,#Hippolyta_MND
w,,1.1.8,Four,fs-mnd-0001300,,four,#crd,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,#Hippolyta_MND
c,,, ,,,,,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,
w,,1.1.8,nights,fs-mnd-0001320,,night,#n2,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,#Hippolyta_MND
c,,, ,,,,,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,
w,,1.1.8,will,fs-mnd-0001340,,will,#vmb,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,#Hippolyta_MND
c,,, ,,,,,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,
w,,1.1.8,quickly,fs-mnd-0001360,,quick,#av_j,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,#Hippolyta_MND
c,,, ,,,,,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,
w,,1.1.8,dream,fs-mnd-0001380,,dream,#vvi,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,#Hippolyta_MND
c,,, ,,,,,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,
w,,1.1.8,away,fs-mnd-0001400,,away,#av,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,#Hippolyta_MND
c,,, ,,,,,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,
w,,1.1.8,the,fs-mnd-0001420,,the,#d,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,#Hippolyta_MND
c,,, ,,,,,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,
w,,1.1.8,time,fs-mnd-0001440,,time,#n1,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,#Hippolyta_MND
pc,,1.1.8,;,fs-mnd-0001450,,,,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,#Hippolyta_MND
l,,1.1.9,,ftln-0009,,,,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,#Hippolyta_MND
w,,1.1.9,And,fs-mnd-0001460,,and,#cc,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,#Hippolyta_MND
c,,, ,,,,,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,
w,,1.1.9,then,fs-mnd-0001480,,then,#av,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,#Hippolyta_MND
c,,, ,,,,,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,
w,,1.1.9,the,fs-mnd-0001500,,the,#d,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,#Hippolyta_MND
c,,, ,,,,,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,
w,,1.1.9,moon,fs-mnd-0001520,,moon,#n1,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,#Hippolyta_MND
pc,,1.1.9,",",fs-mnd-0001530,,,,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,#Hippolyta_MND
c,,, ,,,,,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,
w,,1.1.9,like,fs-mnd-0001550,,like,#acp-p,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,#Hippolyta_MND
c,,, ,,,,,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,
w,,1.1.9,to,fs-mnd-0001570,,to,#acp-p,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,#Hippolyta_MND
c,,, ,,,,,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,
w,,1.1.9,a,fs-mnd-0001590,,a,#d,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,#Hippolyta_MND
c,,, ,,,,,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,
w,,1.1.9,silver,fs-mnd-0001610,,silver,#n1,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,#Hippolyta_MND
c,,, ,,,,,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,
w,,1.1.9,bow,fs-mnd-0001630,,bow,#n1,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,#Hippolyta_MND
l,,1.1.10,,ftln-0010,,,,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,#Hippolyta_MND
w,,1.1.10,New-bent,fs-mnd-0001640,,new-bent,#j,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,#Hippolyta_MND
c,,, ,,,,,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,
w,,1.1.10,in,fs-mnd-0001660,,in,#acp-p,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,#Hippolyta_MND
c,,, ,,,,,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,
w,,1.1.10,heaven,fs-mnd-0001680,,heaven,#n1,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,#Hippolyta_MND
pc,,1.1.10,",",fs-mnd-0001690,,,,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,#Hippolyta_MND
c,,, ,,,,,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,
w,,1.1.10,shall,fs-mnd-0001710,,shall,#vmb,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,#Hippolyta_MND
c,,, ,,,,,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,
w,,1.1.10,behold,fs-mnd-0001730,,behold,#vvi,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,#Hippolyta_MND
c,,, ,,,,,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,
w,,1.1.10,the,fs-mnd-0001750,,the,#d,,,,1,1,#ATTENDANTS_MND #Hippolyta_MND #Philostrate_MND #Theseus_MND,1,#Hippolyta_MND
