tag,type,n,text,xml:id,who,lemma,ana,part,rendition,prev,next,act,scene,onstage,stagegroup_raw,speaker
w,,1.1.1,but,fs-cym-0000280,,but,#acp-p,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,#ATTENDANTS.1_Cym
c,,, ,,,,,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,
w,,1.1.1,frowns,fs-cym-0000300,,frown,#vvz,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,#ATTENDANTS.1_Cym
pc,,1.1.1,.,fs-cym-0000310,,,,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,#ATTENDANTS.1_Cym
c,,, ,,,,,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,
w,,1.1.1,Our,fs-cym-0000330,,our,#po,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,#ATTENDANTS.1_Cym
c,,, ,,,,,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,
w,,1.1.1,bloods,fs-cym-0000350,,blood,#n2,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,#ATTENDANTS.1_Cym
l,,1.1.2,,ftln-0002,,,,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,#ATTENDANTS.1_Cym
w,,1.1.2,No,fs-cym-0000360,,no,#av-x_d,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,#ATTENDANTS.1_Cym
c,,, ,,,,,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,
w,,1.1.2,more,fs-cym-0000380,,more,#av-c_d,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,#ATTENDANTS.1_Cym
c,,, ,,,,,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,
w,,1.1.2,obey,fs-cym-0000400,,obey,#vvb,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,#ATTENDANTS.1_Cym
c,,, ,,,,,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,
w,,1.1.2,the,fs-cym-0000420,,the,#d,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,#ATTENDANTS.1_Cym
c,,, ,,,,,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,
w,,1.1.2,heavens,fs-cym-0000440,,heaven,#n2,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,#ATTENDANTS.1_Cym
c,,, ,,,,,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,
w,,1.1.2,than,fs-cym-0000460,,than,#cs,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,#ATTENDANTS.1_Cym
c,,, ,,,,,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,
w,,1.1.2,our,fs-cym-0000480,,our,#po,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,#ATTENDANTS.1_Cym
c,,, ,,,,,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,
w,,1.1.2,courtiers’,fs-cym-0000500,,courtier,#n2,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,#ATTENDANTS.1_Cym
l,,1.1.3,,ftln-0003,,,,I,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,#ATTENDANTS.1_Cym
w,,1.1.3,Still,fs-cym-0000510,,still,#av,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,#ATTENDANTS.1_Cym
c,,, ,,,,,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,
w,,1.1.3,seem,fs-cym-0000530,,seem,#vvb,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,#ATTENDANTS.1_Cym
c,,, ,,,,,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,
w,,1.1.3,as,fs-cym-0000550,,as,#acp-cs,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,#ATTENDANTS.1_Cym
c,,, ,,,,,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,
w,,1.1.3,does,fs-cym-0000570,,do,#vvz,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,#ATTENDANTS.1_Cym
c,,, ,,,,,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,
w,,1.1.3,the,fs-cym-0000590,,the,#d,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,#ATTENDANTS.1_Cym
c,,, ,,,,,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,
w,,1.1.3,King’s,fs-cym-0000610,,king,#n1g,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,#ATTENDANTS.1_Cym
pc,,1.1.3,.,fs-cym-0000620,,,,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,#ATTENDANTS.1_Cym
sp,,,,sp-0004,{'#ATTENDANTS.2_Cym'},,,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,#ATTENDANTS.2_Cym
l,,1.1.4,,ftln-0004,,,,F,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,#ATTENDANTS.2_Cym
w,,1.1.4,But,fs-cym-0000660,,but,#acp-cc,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,#ATTENDANTS.2_Cym
c,,, ,,,,,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,
w,,1.1.4,what’s,fs-cym-0000680,,what|be,#crq-q|vvz,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,#ATTENDANTS.2_Cym
c,,, ,,,,,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,
w,,1.1.4,the,fs-cym-0000700,,the,#d,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,#ATTENDANTS.2_Cym
c,,, ,,,,,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,
w,,1.1.4,matter,fs-cym-0000720,,matter,#n1,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,#ATTENDANTS.2_Cym
pc,,1.1.4,?,fs-cym-0000730,,,,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,#ATTENDANTS.2_Cym
sp,,,,sp-0005,{'#ATTENDANTS.1_Cym'},,,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,#ATTENDANTS.1_Cym
l,,1.1.5,,ftln-0005,,,,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,#ATTENDANTS.1_Cym
w,,1.1.5,His,fs-cym-0000770,,his,#po,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,#ATTENDANTS.1_Cym
c,,, ,,,,,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,
w,,1.1.5,daughter,fs-cym-0000790,,daughter,#n1,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,#ATTENDANTS.1_Cym
pc,,1.1.5,",",fs-cym-0000800,,,,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,#ATTENDANTS.1_Cym
c,,, ,,,,,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,
w,,1.1.5,and,fs-cym-0000820,,and,#cc,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,#ATTENDANTS.1_Cym
c,,, ,,,,,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,
w,,1.1.5,the,fs-cym-0000840,,the,#d,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,#ATTENDANTS.1_Cym
c,,, ,,,,,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,
w,,1.1.5,heir,fs-cym-0000860,,heir,#n1,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,#ATTENDANTS.1_Cym
c,,, ,,,,,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,
w,,1.1.5,of,fs-cym-0000880,,of,#acp-p,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,#ATTENDANTS.1_Cym
c,,, ,,,,,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,
w,,1.1.5,’s,fs-cym-0000900,,his,#po,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,#ATTENDANTS.1_Cym
c,,, ,,,,,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,
w,,1.1.5,kingdom,fs-cym-0000920,,kingdom,#n1,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,#ATTENDANTS.1_Cym
pc,,1.1.5,",",fs-cym-0000930,,,,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,#ATTENDANTS.1_Cym
c,,, ,,,,,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,
w,,1.1.5,whom,fs-cym-0000950,,who,#crq-ro,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,#ATTENDANTS.1_Cym
l,,1.1.6,,ftln-0006,,,,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,#ATTENDANTS.1_Cym
w,,1.1.6,He,fs-cym-0000960,,he,#pns,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,#ATTENDANTS.1_Cym
c,,, ,,,,,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,
w,,1.1.6,purposed,fs-cym-0000980,,purpose,#vvd,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,#ATTENDANTS.1_Cym
c,,, ,,,,,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,
w,,1.1.6,to,fs-cym-0001000,,to,#acp-p,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,#ATTENDANTS.1_Cym
c,,, ,,,,,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,
w,,1.1.6,his,fs-cym-0001020,,his,#po,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,#ATTENDANTS.1_Cym
c,,, ,,,,,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,
w,,1.1.6,wife’s,fs-cym-0001040,,wife,#n1g,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,#ATTENDANTS.1_Cym
c,,, ,,,,,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,
w,,1.1.6,sole,fs-cym-0001060,,sole,#j,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,#ATTENDANTS.1_Cym
c,,, ,,,,,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,
w,,1.1.6,son,fs-cym-0001080,,son,#n1,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,#ATTENDANTS.1_Cym
pc,,1.1.6,—,fs-cym-0001090,,,,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,#ATTENDANTS.1_Cym
w,,1.1.6,a,fs-cym-0001100,,a,#d,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,#ATTENDANTS.1_Cym
c,,, ,,,,,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,
w,,1.1.6,widow,fs-cym-0001120,,widow,#n1,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,#ATTENDANTS.1_Cym
l,,1.1.7,,ftln-0007,,,,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,#ATTENDANTS.1_Cym
w,,1.1.7,That,fs-cym-0001130,,that,#cs,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,#ATTENDANTS.1_Cym
c,,, ,,,,,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,
w,,1.1.7,late,fs-cym-0001150,,late,#av_j,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,#ATTENDANTS.1_Cym
c,,, ,,,,,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,
w,,1.1.7,he,fs-cym-0001170,,he,#pns,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,#ATTENDANTS.1_Cym
c,,, ,,,,,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,
w,,1.1.7,married,fs-cym-0001190,,marry,#vvd,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,#ATTENDANTS.1_Cym
pc,,1.1.7,—,fs-cym-0001200,,,,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,#ATTENDANTS.1_Cym
w,,1.1.7,hath,fs-cym-0001210,,have,#vvz,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,#ATTENDANTS.1_Cym
c,,, ,,,,,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,
w,,1.1.7,referred,fs-cym-0001230,,refer,#vvn,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,#ATTENDANTS.1_Cym
c,,, ,,,,,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,
w,,1.1.7,herself,fs-cym-0001250,,herself,#px,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,#ATTENDANTS.1_Cym
l,,1.1.8,,ftln-0008,,,,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,#ATTENDANTS.1_Cym
w,,1.1.8,Unto,fs-cym-0001260,,unto,#acp-p,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,#ATTENDANTS.1_Cym
c,,, ,,,,,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,
w,,1.1.8,a,fs-cym-0001280,,a,#d,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,#ATTENDANTS.1_Cym
c,,, ,,,,,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,
w,,1.1.8,poor,fs-cym-0001300,,poor,#j,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,#ATTENDANTS.1_Cym
c,,, ,,,,,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,
w,,1.1.8,but,fs-cym-0001320,,but,#acp-cc,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,#ATTENDANTS.1_Cym
c,,, ,,,,,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,
w,,1.1.8,worthy,fs-cym-0001340,,worthy,#j,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,#ATTENDANTS.1_Cym
c,,, ,,,,,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,
w,,1.1.8,gentleman,fs-cym-0001360,,gentleman,#n1,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,#ATTENDANTS.1_Cym
pc,,1.1.8,.,fs-cym-0001370,,,,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,#ATTENDANTS.1_Cym
c,,, ,,,,,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,
w,,1.1.8,She’s,fs-cym-0001390,,she|be,#pns|vvz,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,#ATTENDANTS.1_Cym
c,,, ,,,,,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,
w,,1.1.8,wedded,fs-cym-0001410,,wed,#vvn,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,#ATTENDANTS.1_Cym
pc,,1.1.8,",",fs-cym-0001420,,,,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,#ATTENDANTS.1_Cym
l,,1.1.9,,ftln-0009,,,,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,#ATTENDANTS.1_Cym
w,,1.1.9,Her,fs-cym-0001430,,her,#po,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,#ATTENDANTS.1_Cym
c,,, ,,,,,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,
w,,1.1.9,husband,fs-cym-0001450,,husband,#n1,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,#ATTENDANTS.1_Cym
c,,, ,,,,,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,
w,,1.1.9,banished,fs-cym-0001470,,banish,#vvn,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,#ATTENDANTS.1_Cym
pc,,1.1.9,",",fs-cym-0001480,,,,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,#ATTENDANTS.1_Cym
c,,, ,,,,,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,
w,,1.1.9,she,fs-cym-0001500,,she,#pns,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,#ATTENDANTS.1_Cym
c,,, ,,,,,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,
w,,1.1.9,imprisoned,fs-cym-0001520,,imprison,#vvn,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,#ATTENDANTS.1_Cym
pc,,1.1.9,.,fs-cym-0001530,,,,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,#ATTENDANTS.1_Cym
c,,, ,,,,,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,
w,,1.1.9,All,fs-cym-0001550,,all,#d,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,#ATTENDANTS.1_Cym
l,,1.1.10,,ftln-0010,,,,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,#ATTENDANTS.1_Cym
w,,1.1.10,Is,fs-cym-0001560,,be,#vvz,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,#ATTENDANTS.1_Cym
c,,, ,,,,,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,
w,,1.1.10,outward,fs-cym-0001580,,outward,#j,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,#ATTENDANTS.1_Cym
c,,, ,,,,,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,
w,,1.1.10,sorrow,fs-cym-0001600,,sorrow,#n1,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,#ATTENDANTS.1_Cym
pc,,1.1.10,",",fs-cym-0001610,,,,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,#ATTENDANTS.1_Cym
c,,, ,,,,,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,
w,,1.1.10,though,fs-cym-0001630,,though,#cs,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,#ATTENDANTS.1_Cym
c,,, ,,,,,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,
w,,1.1.10,I,fs-cym-0001650,,i,#pns,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,#ATTENDANTS.1_Cym
c,,, ,,,,,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,
w,,1.1.10,think,fs-cym-0001670,,think,#vvb,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,#ATTENDANTS.1_Cym
c,,, ,,,,,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,
w,,1.1.10,the,fs-cym-0001690,,the,#d,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,#ATTENDANTS.1_Cym
c,,, ,,,,,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,
w,,1.1.10,King,fs-cym-0001710,,king,#n1,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,#ATTENDANTS.1_Cym
l,,1.1.11,,ftln-0011,,,,I,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,#ATTENDANTS.1_Cym
w,,1.1.11,Be,fs-cym-0001720,,be,#vvb,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,#ATTENDANTS.1_Cym
c,,, ,,,,,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,
w,,1.1.11,touched,fs-cym-0001740,,touch,#vvn,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,#ATTENDANTS.1_Cym
c,,, ,,,,,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,
w,,1.1.11,at,fs-cym-0001760,,at,#acp-p,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,#ATTENDANTS.1_Cym
c,,, ,,,,,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,
w,,1.1.11,very,fs-cym-0001780,,very,#j,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,#ATTENDANTS.1_Cym
c,,, ,,,,,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,
w,,1.1.11,heart,fs-cym-0001800,,heart,#n1,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,#ATTENDANTS.1_Cym
pc,,1.1.11,.,fs-cym-0001810,,,,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,#ATTENDANTS.1_Cym
sp,,,,sp-0012,{'#ATTENDANTS.2_Cym'},,,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,#ATTENDANTS.2_Cym
l,,1.1.12,,ftln-0012,,,,F,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,#ATTENDANTS.2_Cym
w,,1.1.12,None,fs-cym-0001850,,none,#pi-x,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,#ATTENDANTS.2_Cym
c,,, ,,,,,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,
w,,1.1.12,but,fs-cym-0001870,,but,#acp-p,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,#ATTENDANTS.2_Cym
c,,, ,,,,,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,
w,,1.1.12,the,fs-cym-0001890,,the,#d,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,#ATTENDANTS.2_Cym
c,,, ,,,,,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,
w,,1.1.12,King,fs-cym-0001910,,king,#n1,,,,,1,1,#ATTENDANTS.1_Cym #ATTENDANTS.2_Cym,1,#ATTENDANTS.2_Cym
