tag,type,n,text,xml:id,who,lemma,ana,rendition,part,prev,next,act,scene,onstage,stagegroup_raw,speaker
c,,, ,,,,,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,
w,,1.1.1,had,fs-lr-0000280,,have,#vvd,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,#Kent_Lr
c,,, ,,,,,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,
w,,1.1.1,more,fs-lr-0000300,,more,#av-c_d,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,#Kent_Lr
c,,, ,,,,,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,
w,,1.1.1,affected,fs-lr-0000320,,affect,#vvn,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,#Kent_Lr
c,,, ,,,,,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,
w,,1.1.1,the,fs-lr-0000340,,the,#d,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,#Kent_Lr
c,,, ,,,,,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,
w,,1.1.1,Duke,fs-lr-0000360,,duke,#n1,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,#Kent_Lr
lb,,1.1.2,,ftln-0002,,,,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,#Kent_Lr
w,,1.1.2,of,fs-lr-0000370,,of,#acp-p,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,#Kent_Lr
c,,, ,,,,,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,
w,,1.1.2,Albany,fs-lr-0000390,,Albany,#n1-nn,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,#Kent_Lr
c,,, ,,,,,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,
w,,1.1.2,than,fs-lr-0000410,,than,#cs,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,#Kent_Lr
c,,, ,,,,,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,
w,,1.1.2,Cornwall,fs-lr-0000430,,Cornwall,#n1-nn,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,#Kent_Lr
pc,,1.1.2,.,fs-lr-0000440,,,,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,#Kent_Lr
sp,,,,sp-0003,{'#Gloucester_Lr'},,,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,#Gloucester_Lr
p,,,,p-0003,,,,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,
lb,,1.1.3,,ftln-0003,,,,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,#Gloucester_Lr
w,,1.1.3,It,fs-lr-0000460,,it,#pn,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,#Gloucester_Lr
c,,, ,,,,,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,
w,,1.1.3,did,fs-lr-0000480,,do,#vvd,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,#Gloucester_Lr
c,,, ,,,,,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,
w,,1.1.3,always,fs-lr-0000500,,always,#av,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,#Gloucester_Lr
c,,, ,,,,,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,
w,,1.1.3,seem,fs-lr-0000520,,seem,#vvi,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,#Gloucester_Lr
c,,, ,,,,,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,
w,,1.1.3,so,fs-lr-0000540,,so,#av,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,#Gloucester_Lr
c,,, ,,,,,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,
w,,1.1.3,to,fs-lr-0000560,,to,#acp-p,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,#Gloucester_Lr
c,,, ,,,,,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,
w,,1.1.3,us,fs-lr-0000580,,we,#pno,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,#Gloucester_Lr
pc,,1.1.3,",",fs-lr-0000590,,,,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,#Gloucester_Lr
c,,, ,,,,,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,
w,,1.1.3,but,fs-lr-0000610,,but,#acp-cc,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,#Gloucester_Lr
c,,, ,,,,,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,
w,,1.1.3,now,fs-lr-0000630,,now,#av,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,#Gloucester_Lr
c,,, ,,,,,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,
w,,1.1.3,in,fs-lr-0000650,,in,#acp-p,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,#Gloucester_Lr
lb,,1.1.4,,ftln-0004,,,,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,#Gloucester_Lr
w,,1.1.4,the,fs-lr-0000660,,the,#d,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,#Gloucester_Lr
c,,, ,,,,,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,
w,,1.1.4,division,fs-lr-0000680,,division,#n1,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,#Gloucester_Lr
c,,, ,,,,,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,
w,,1.1.4,of,fs-lr-0000700,,of,#acp-p,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,#Gloucester_Lr
c,,, ,,,,,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,
w,,1.1.4,the,fs-lr-0000720,,the,#d,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,#Gloucester_Lr
c,,, ,,,,,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,
w,,1.1.4,kingdom,fs-lr-0000740,,kingdom,#n1,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,#Gloucester_Lr
pc,,1.1.4,",",fs-lr-0000750,,,,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,#Gloucester_Lr
c,,, ,,,,,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,
w,,1.1.4,it,fs-lr-0000770,,it,#pn,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,#Gloucester_Lr
c,,, ,,,,,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,
w,,1.1.4,appears,fs-lr-0000790,,appear,#vvz,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,#Gloucester_Lr
c,,, ,,,,,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,
w,,1.1.4,not,fs-lr-0000810,,not,#xx,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,#Gloucester_Lr
c,,, ,,,,,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,
w,,1.1.4,which,fs-lr-0000830,,which,#crq-r,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,#Gloucester_Lr
lb,,1.1.5,,ftln-0005,,,,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,#Gloucester_Lr
w,,1.1.5,of,fs-lr-0000840,,of,#acp-p,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,#Gloucester_Lr
c,,, ,,,,,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,
w,,1.1.5,the,fs-lr-0000860,,the,#d,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,#Gloucester_Lr
c,,, ,,,,,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,
w,,1.1.5,dukes,fs-lr-0000880,,duke,#n2,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,#Gloucester_Lr
c,,, ,,,,,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,
w,,1.1.5,he,fs-lr-0000900,,he,#pns,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,#Gloucester_Lr
c,,, ,,,,,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,
w,,1.1.5,values,fs-lr-0000920,,value,#vvz,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,#Gloucester_Lr
c,,, ,,,,,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,
w,,1.1.5,most,fs-lr-0000940,,most,#d-s,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,#Gloucester_Lr
pc,,1.1.5,",",fs-lr-0000950,,,,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,#Gloucester_Lr
c,,, ,,,,,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,
w,,1.1.5,for,fs-lr-0000970,,for,#acp-p,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,#Gloucester_Lr
c,,, ,,,,,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,
w,,1.1.5,equalities,fs-lr-0000990,,equality,#n2,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,#Gloucester_Lr
c,,, ,,,,,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,
w,,1.1.5,are,fs-lr-0001010,,be,#vvb,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,#Gloucester_Lr
c,,, ,,,,,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,
w,,1.1.5,so,fs-lr-0001030,,so,#av,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,#Gloucester_Lr
lb,,1.1.6,,ftln-0006,,,,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,#Gloucester_Lr
w,,1.1.6,weighed,fs-lr-0001040,,weigh,#vvn,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,#Gloucester_Lr
c,,, ,,,,,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,
w,,1.1.6,that,fs-lr-0001060,,that,#cs,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,#Gloucester_Lr
c,,, ,,,,,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,
w,,1.1.6,curiosity,fs-lr-0001080,,curiosity,#n1,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,#Gloucester_Lr
c,,, ,,,,,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,
w,,1.1.6,in,fs-lr-0001100,,in,#acp-p,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,#Gloucester_Lr
c,,, ,,,,,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,
w,,1.1.6,neither,fs-lr-0001120,,neither,#d-x,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,#Gloucester_Lr
c,,, ,,,,,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,
w,,1.1.6,can,fs-lr-0001140,,can,#vmb,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,#Gloucester_Lr
c,,, ,,,,,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,
w,,1.1.6,make,fs-lr-0001160,,make,#vvi,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,#Gloucester_Lr
c,,, ,,,,,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,
w,,1.1.6,choice,fs-lr-0001180,,choice,#n1,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,#Gloucester_Lr
lb,,1.1.7,,ftln-0007,,,,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,#Gloucester_Lr
w,,1.1.7,of,fs-lr-0001190,,of,#acp-p,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,#Gloucester_Lr
c,,, ,,,,,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,
w,,1.1.7,either’s,fs-lr-0001210,,either,#pig_d,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,#Gloucester_Lr
c,,, ,,,,,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,
w,,1.1.7,moiety,fs-lr-0001230,,moiety,#n1,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,#Gloucester_Lr
pc,,1.1.7,.,fs-lr-0001240,,,,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,#Gloucester_Lr
sp,,,,sp-0008,{'#Kent_Lr'},,,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,#Kent_Lr
p,,,,p-0008,,,,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,
lb,,1.1.8,,ftln-0008,,,,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,#Kent_Lr
w,,1.1.8,Is,fs-lr-0001260,,be,#vvz,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,#Kent_Lr
c,,, ,,,,,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,
w,,1.1.8,not,fs-lr-0001280,,not,#xx,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,#Kent_Lr
c,,, ,,,,,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,
w,,1.1.8,this,fs-lr-0001300,,this,#d,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,#Kent_Lr
c,,, ,,,,,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,
w,,1.1.8,your,fs-lr-0001320,,your,#po,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,#Kent_Lr
c,,, ,,,,,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,
w,,1.1.8,son,fs-lr-0001340,,son,#n1,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,#Kent_Lr
pc,,1.1.8,",",fs-lr-0001350,,,,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,#Kent_Lr
c,,, ,,,,,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,
w,,1.1.8,my,fs-lr-0001370,,my,#po,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,#Kent_Lr
c,,, ,,,,,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,
w,,1.1.8,lord,fs-lr-0001390,,lord,#n1,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,#Kent_Lr
pc,,1.1.8,?,fs-lr-0001400,,,,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,#Kent_Lr
sp,,,,sp-0009,{'#Gloucester_Lr'},,,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,#Gloucester_Lr
p,,,,p-0009,,,,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,
lb,,1.1.9,,ftln-0009,,,,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,#Gloucester_Lr
w,,1.1.9,His,fs-lr-0001420,,his,#po,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,#Gloucester_Lr
c,,, ,,,,,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,
w,,1.1.9,breeding,fs-lr-0001440,,breed,#n1_vg,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,#Gloucester_Lr
pc,,1.1.9,",",fs-lr-0001450,,,,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,#Gloucester_Lr
c,,, ,,,,,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,
w,,1.1.9,sir,fs-lr-0001470,,sir,#n1,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,#Gloucester_Lr
pc,,1.1.9,",",fs-lr-0001480,,,,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,#Gloucester_Lr
c,,, ,,,,,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,
w,,1.1.9,hath,fs-lr-0001500,,have,#vvz,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,#Gloucester_Lr
c,,, ,,,,,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,
w,,1.1.9,been,fs-lr-0001520,,be,#vvn,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,#Gloucester_Lr
c,,, ,,,,,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,
w,,1.1.9,at,fs-lr-0001540,,at,#acp-p,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,#Gloucester_Lr
c,,, ,,,,,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,
w,,1.1.9,my,fs-lr-0001560,,my,#po,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,#Gloucester_Lr
lb,,1.1.10,,ftln-0010,,,,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,#Gloucester_Lr
w,,1.1.10,charge,fs-lr-0001570,,charge,#n1,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,#Gloucester_Lr
pc,,1.1.10,.,fs-lr-0001580,,,,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,#Gloucester_Lr
c,,, ,,,,,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,
w,,1.1.10,I,fs-lr-0001600,,i,#pns,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,#Gloucester_Lr
c,,, ,,,,,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,
w,,1.1.10,have,fs-lr-0001620,,have,#vvb,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,#Gloucester_Lr
c,,, ,,,,,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,
w,,1.1.10,so,fs-lr-0001640,,so,#av,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,#Gloucester_Lr
c,,, ,,,,,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,
w,,1.1.10,often,fs-lr-0001660,,often,#av,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,#Gloucester_Lr
c,,, ,,,,,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,
w,,1.1.10,blushed,fs-lr-0001680,,blush,#vvn,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,#Gloucester_Lr
c,,, ,,,,,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,
w,,1.1.10,to,fs-lr-0001700,,to,#acp-cs,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,#Gloucester_Lr
c,,, ,,,,,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,
w,,1.1.10,acknowledge,fs-lr-0001720,,acknowledge,#vvi,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,#Gloucester_Lr
lb,,1.1.11,,ftln-0011,,,,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,#Gloucester_Lr
w,,1.1.11,him,fs-lr-0001730,,he,#pno,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,#Gloucester_Lr
c,,, ,,,,,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,
w,,1.1.11,that,fs-lr-0001750,,that,#cs,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,#Gloucester_Lr
c,,, ,,,,,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,
w,,1.1.11,now,fs-lr-0001770,,now,#av,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,#Gloucester_Lr
c,,, ,,,,,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,
w,,1.1.11,I,fs-lr-0001790,,i,#pns,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,#Gloucester_Lr
c,,, ,,,,,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,
w,,1.1.11,am,fs-lr-0001810,,be,#vvm,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,#Gloucester_Lr
c,,, ,,,,,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,
w,,1.1.11,brazed,fs-lr-0001830,,braze,#vvn,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,#Gloucester_Lr
c,,, ,,,,,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,
w,,1.1.11,to,fs-lr-0001850,,to,#acp-p,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,#Gloucester_Lr
c,,, ,,,,,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,
w,,1.1.11,’t,fs-lr-0001870,,it,#pn,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,#Gloucester_Lr
pc,,1.1.11,.,fs-lr-0001880,,,,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,#Gloucester_Lr
sp,,,,sp-0012,{'#Kent_Lr'},,,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,#Kent_Lr
p,,,,p-0012,,,,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,
lb,,1.1.12,,ftln-0012,,,,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,#Kent_Lr
w,,1.1.12,I,fs-lr-0001900,,i,#pns,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,#Kent_Lr
c,,, ,,,,,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,
w,,1.1.12,cannot,fs-lr-0001920,,can,#vmb-x,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,#Kent_Lr
c,,, ,,,,,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,
w,,1.1.12,conceive,fs-lr-0001940,,conceive,#vvi,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,#Kent_Lr
c,,, ,,,,,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,
w,,1.1.12,you,fs-lr-0001960,,you,#pn,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,#Kent_Lr
pc,,1.1.12,.,fs-lr-0001970,,,,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,#Kent_Lr
sp,,,,sp-0013,{'#Gloucester_Lr'},,,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,#Gloucester_Lr
p,,,,p-0013,,,,,,,,1,1,#Edmund_Lr #Gloucester_Lr #Kent_Lr,1,
