tag,type,n,text,xml:id,who,lemma,ana,rendition,part,act,scene,onstage,stagegroup_raw,speaker
c,,, ,,,,,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,
w,,1.1.1,Hugh,fs-wiv-0000280,,Hugh,#n1-nn,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,#Shallow_2H4
pc,,1.1.1,",",fs-wiv-0000290,,,,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,#Shallow_2H4
c,,, ,,,,,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,
w,,1.1.1,persuade,fs-wiv-0000310,,persuade,#vvb,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,#Shallow_2H4
c,,, ,,,,,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,
w,,1.1.1,me,fs-wiv-0000330,,i,#pno,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,#Shallow_2H4
c,,, ,,,,,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,
w,,1.1.1,not,fs-wiv-0000350,,not,#xx,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,#Shallow_2H4
pc,,1.1.1,.,fs-wiv-0000360,,,,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,#Shallow_2H4
c,,, ,,,,,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,
w,,1.1.1,I,fs-wiv-0000380,,i,#pns,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,#Shallow_2H4
c,,, ,,,,,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,
w,,1.1.1,will,fs-wiv-0000400,,will,#vmb,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,#Shallow_2H4
c,,, ,,,,,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,
w,,1.1.1,make,fs-wiv-0000420,,make,#vvi,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,#Shallow_2H4
c,,, ,,,,,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,
w,,1.1.1,a,fs-wiv-0000440,,a,#d,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,#Shallow_2H4
lb,,1.1.2,,ftln-0002,,,,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,#Shallow_2H4
w,,1.1.2,Star-Chamber,fs-wiv-0000450,,Star-Chamber,#n1,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,#Shallow_2H4
c,,, ,,,,,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,
w,,1.1.2,matter,fs-wiv-0000470,,matter,#n1,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,#Shallow_2H4
c,,, ,,,,,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,
w,,1.1.2,of,fs-wiv-0000490,,of,#acp-p,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,#Shallow_2H4
c,,, ,,,,,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,
w,,1.1.2,it,fs-wiv-0000510,,it,#pn,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,#Shallow_2H4
pc,,1.1.2,.,fs-wiv-0000520,,,,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,#Shallow_2H4
c,,, ,,,,,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,
w,,1.1.2,If,fs-wiv-0000540,,if,#cs,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,#Shallow_2H4
c,,, ,,,,,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,
w,,1.1.2,he,fs-wiv-0000560,,he,#pns,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,#Shallow_2H4
c,,, ,,,,,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,
w,,1.1.2,were,fs-wiv-0000580,,be,#vvd,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,#Shallow_2H4
c,,, ,,,,,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,
w,,1.1.2,twenty,fs-wiv-0000600,,twenty,#crd,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,#Shallow_2H4
c,,, ,,,,,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,
w,,1.1.2,Sir,fs-wiv-0000620,,sir,#n1,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,#Shallow_2H4
lb,,1.1.3,,ftln-0003,,,,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,#Shallow_2H4
w,,1.1.3,John,fs-wiv-0000630,,John,#n1-nn,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,#Shallow_2H4
c,,, ,,,,,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,
w,,1.1.3,Falstaffs,fs-wiv-0000650,,Falstaff,#n2-nn,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,#Shallow_2H4
pc,,1.1.3,",",fs-wiv-0000660,,,,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,#Shallow_2H4
c,,, ,,,,,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,
w,,1.1.3,he,fs-wiv-0000680,,he,#pns,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,#Shallow_2H4
c,,, ,,,,,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,
w,,1.1.3,shall,fs-wiv-0000700,,shall,#vmb,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,#Shallow_2H4
c,,, ,,,,,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,
w,,1.1.3,not,fs-wiv-0000720,,not,#xx,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,#Shallow_2H4
c,,, ,,,,,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,
w,,1.1.3,abuse,fs-wiv-0000740,,abuse,#vvi,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,#Shallow_2H4
c,,, ,,,,,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,
w,,1.1.3,Robert,fs-wiv-0000760,,Robert,#n1-nn,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,#Shallow_2H4
c,,, ,,,,,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,
w,,1.1.3,Shallow,fs-wiv-0000780,,shallow,#j,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,#Shallow_2H4
pc,,1.1.3,",",fs-wiv-0000790,,,,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,#Shallow_2H4
lb,,1.1.4,,ftln-0004,,,,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,#Shallow_2H4
w,,1.1.4,Esquire,fs-wiv-0000800,,esquire,#n1,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,#Shallow_2H4
pc,,1.1.4,.,fs-wiv-0000810,,,,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,#Shallow_2H4
sp,,,,sp-0005,{'#Slender_Wiv'},,,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,#Slender_Wiv
p,,,,p-0005,,,,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,
lb,,1.1.5,,ftln-0005,,,,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,#Slender_Wiv
w,,1.1.5,In,fs-wiv-0000830,,in,#acp-p,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,#Slender_Wiv
c,,, ,,,,,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,
w,,1.1.5,the,fs-wiv-0000850,,the,#d,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,#Slender_Wiv
c,,, ,,,,,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,
w,,1.1.5,county,fs-wiv-0000870,,county,#n1,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,#Slender_Wiv
c,,, ,,,,,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,
w,,1.1.5,of,fs-wiv-0000890,,of,#acp-p,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,#Slender_Wiv
c,,, ,,,,,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,
w,,1.1.5,Gloucester,fs-wiv-0000910,,Gloucester,#n1-nn,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,#Slender_Wiv
pc,,1.1.5,",",fs-wiv-0000920,,,,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,#Slender_Wiv
c,,, ,,,,,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,
w,,1.1.5,Justice,fs-wiv-0000940,,justice,#n1,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,#Slender_Wiv
c,,, ,,,,,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,
w,,1.1.5,of,fs-wiv-0000960,,of,#acp-p,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,#Slender_Wiv
c,,, ,,,,,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,
w,,1.1.5,Peace,fs-wiv-0000980,,peace,#n1,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,#Slender_Wiv
lb,,1.1.6,,ftln-0006,,,,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,#Slender_Wiv
w,,1.1.6,and,fs-wiv-0000990,,and,#cc,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,#Slender_Wiv
c,,, ,,,,,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,
w,,1.1.6,Coram,fs-wiv-0001010,,coram,#fw-la,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,#Slender_Wiv
pc,,1.1.6,.,fs-wiv-0001020,,,,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,#Slender_Wiv
sp,,,,sp-0007,{'#Shallow_2H4'},,,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,#Shallow_2H4
p,,,,p-0007,,,,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,
lb,,1.1.7,,ftln-0007,,,,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,#Shallow_2H4
w,,1.1.7,Ay,fs-wiv-0001040,,ay,#uh,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,#Shallow_2H4
pc,,1.1.7,",",fs-wiv-0001050,,,,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,#Shallow_2H4
c,,, ,,,,,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,
w,,1.1.7,Cousin,fs-wiv-0001070,,cousin,#n1,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,#Shallow_2H4
c,,, ,,,,,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,
w,,1.1.7,Slender,fs-wiv-0001090,,Slender,#n1-nn,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,#Shallow_2H4
pc,,1.1.7,",",fs-wiv-0001100,,,,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,#Shallow_2H4
c,,, ,,,,,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,
w,,1.1.7,and,fs-wiv-0001120,,and,#cc,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,#Shallow_2H4
c,,, ,,,,,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,
w,,1.1.7,Custalorum,fs-wiv-0001140,,custalorum,#fw-mi,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,#Shallow_2H4
pc,,1.1.7,.,fs-wiv-0001150,,,,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,#Shallow_2H4
sp,,,,sp-0008,{'#Slender_Wiv'},,,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,#Slender_Wiv
p,,,,p-0008,,,,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,
lb,,1.1.8,,ftln-0008,,,,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,#Slender_Wiv
w,,1.1.8,Ay,fs-wiv-0001170,,ay,#uh,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,#Slender_Wiv
pc,,1.1.8,",",fs-wiv-0001180,,,,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,#Slender_Wiv
c,,, ,,,,,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,
w,,1.1.8,and,fs-wiv-0001200,,and,#cc,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,#Slender_Wiv
c,,, ,,,,,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,
w,,1.1.8,Ratolorum,fs-wiv-0001220,,rato-lorum,#fw-mi,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,#Slender_Wiv
c,,, ,,,,,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,
w,,1.1.8,too,fs-wiv-0001240,,too,#av,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,#Slender_Wiv
pc,,1.1.8,;,fs-wiv-0001250,,,,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,#Slender_Wiv
c,,, ,,,,,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,
w,,1.1.8,and,fs-wiv-0001270,,and,#cc,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,#Slender_Wiv
c,,, ,,,,,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,
w,,1.1.8,a,fs-wiv-0001290,,a,#d,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,#Slender_Wiv
c,,, ,,,,,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,
w,,1.1.8,gentleman,fs-wiv-0001310,,gentleman,#n1,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,#Slender_Wiv
c,,, ,,,,,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,
w,,1.1.8,born,fs-wiv-0001330,,bear,#vvn,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,#Slender_Wiv
pc,,1.1.8,",",fs-wiv-0001340,,,,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,#Slender_Wiv
lb,,1.1.9,,ftln-0009,,,,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,#Slender_Wiv
w,,1.1.9,Master,fs-wiv-0001350,,master,#n1,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,#Slender_Wiv
c,,, ,,,,,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,
w,,1.1.9,Parson,fs-wiv-0001370,,parson,#n1,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,#Slender_Wiv
pc,,1.1.9,",",fs-wiv-0001380,,,,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,#Slender_Wiv
c,,, ,,,,,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,
w,,1.1.9,who,fs-wiv-0001400,,who,#crq-r,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,#Slender_Wiv
c,,, ,,,,,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,
w,,1.1.9,writes,fs-wiv-0001420,,write,#vvz,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,#Slender_Wiv
c,,, ,,,,,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,
w,,1.1.9,himself,fs-wiv-0001440,,himself,#px,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,#Slender_Wiv
c,,, ,,,,,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,
pc,,,“,fs-wiv--0001s,,,,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,
w,,1.1.9,Armigero,fs-wiv-0001460,,armigero,#fw-la,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,#Slender_Wiv
pc,,,”,fs-wiv--0001e,,,,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,
lb,,1.1.10,,ftln-0010,,,,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,#Slender_Wiv
w,,1.1.10,in,fs-wiv-0001470,,in,#acp-p,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,#Slender_Wiv
c,,, ,,,,,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,
w,,1.1.10,any,fs-wiv-0001490,,any,#d,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,#Slender_Wiv
c,,, ,,,,,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,
w,,1.1.10,bill,fs-wiv-0001510,,bill,#n1,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,#Slender_Wiv
pc,,1.1.10,",",fs-wiv-0001520,,,,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,#Slender_Wiv
c,,, ,,,,,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,
w,,1.1.10,warrant,fs-wiv-0001540,,warrant,#vvb,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,#Slender_Wiv
pc,,1.1.10,",",fs-wiv-0001550,,,,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,#Slender_Wiv
c,,, ,,,,,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,
w,,1.1.10,quittance,fs-wiv-0001570,,quittance,#n1,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,#Slender_Wiv
pc,,1.1.10,",",fs-wiv-0001580,,,,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,#Slender_Wiv
c,,, ,,,,,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,
w,,1.1.10,or,fs-wiv-0001600,,or,#cc,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,#Slender_Wiv
c,,, ,,,,,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,
w,,1.1.10,obligation,fs-wiv-0001620,,obligation,#n1,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,#Slender_Wiv
pc,,1.1.10,—,fs-wiv-0001630,,,,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,#Slender_Wiv
lb,,1.1.11,,ftln-0011,,,,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,#Slender_Wiv
pc,,,“,fs-wiv--0002s,,,,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,
w,,1.1.11,Armigero,fs-wiv-0001640,,armigero,#fw-la,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,#Slender_Wiv
pc,,1.1.11,!,fs-wiv-0001650,,,,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,#Slender_Wiv
pc,,,”,fs-wiv--0002e,,,,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,
sp,,,,sp-0012,{'#Shallow_2H4'},,,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,#Shallow_2H4
p,,,,p-0012,,,,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,
lb,,1.1.12,,ftln-0012,,,,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,#Shallow_2H4
w,,1.1.12,Ay,fs-wiv-0001670,,ay,#uh,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,#Shallow_2H4
pc,,1.1.12,",",fs-wiv-0001680,,,,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,#Shallow_2H4
c,,, ,,,,,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,
w,,1.1.12,that,fs-wiv-0001700,,that,#cs,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,#Shallow_2H4
c,,, ,,,,,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,
w,,1.1.12,I,fs-wiv-0001720,,i,#pns,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,#Shallow_2H4
c,,, ,,,,,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,
w,,1.1.12,do,fs-wiv-0001740,,do,#vvb,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,#Shallow_2H4
pc,,1.1.12,",",fs-wiv-0001750,,,,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,#Shallow_2H4
c,,, ,,,,,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,
w,,1.1.12,and,fs-wiv-0001770,,and,#cc,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,#Shallow_2H4
c,,, ,,,,,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,
w,,1.1.12,have,fs-wiv-0001790,,have,#vvb,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,#Shallow_2H4
c,,, ,,,,,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,
w,,1.1.12,done,fs-wiv-0001810,,do,#vvn,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,#Shallow_2H4
c,,, ,,,,,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,
w,,1.1.12,any,fs-wiv-0001830,,any,#d,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,#Shallow_2H4
c,,, ,,,,,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,
w,,1.1.12,time,fs-wiv-0001850,,time,#n1,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,#Shallow_2H4
c,,, ,,,,,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,
w,,1.1.12,these,fs-wiv-0001870,,these,#d,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,#Shallow_2H4
lb,,1.1.13,,ftln-0013,,,,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,#Shallow_2H4
w,,1.1.13,three,fs-wiv-0001880,,three,#crd,,,1,1,#HughEvans_Wiv #Shallow_2H4 #Slender_Wiv,1,#Shallow_2H4
