tag,type,n,text,xml:id,who,ana,rendition,lemma,part,act,scene,onstage,stagegroup_raw,speaker
c,,, ,,,,,,,1,1,#Bassianus_Tit #Marcus_Tit #ROMANS_Tit #SENATORS_Tit #Saturninus_Tit #TRIBUNES_Tit,1,
w,,SD 1.1.0,Andronicus,fs-tit-0000200,,,,,,1,1,#Bassianus_Tit #Marcus_Tit #ROMANS_Tit #SENATORS_Tit #Saturninus_Tit #TRIBUNES_Tit,1,
pc,,SD 1.1.0,),fs-tit-0000210,,,roman,,,1,1,#Bassianus_Tit #Marcus_Tit #ROMANS_Tit #SENATORS_Tit #Saturninus_Tit #TRIBUNES_Tit,1,
c,,, ,,,,,,,1,1,#Bassianus_Tit #Marcus_Tit #ROMANS_Tit #SENATORS_Tit #Saturninus_Tit #TRIBUNES_Tit,1,
w,,SD 1.1.0,and,fs-tit-0000230,,,,,,1,1,#Bassianus_Tit #Marcus_Tit #ROMANS_Tit #SENATORS_Tit #Saturninus_Tit #TRIBUNES_Tit,1,
c,,, ,,,,,,,1,1,#Bassianus_Tit #Marcus_Tit #ROMANS_Tit #SENATORS_Tit #Saturninus_Tit #TRIBUNES_Tit,1,
w,,SD 1.1.0,Senators,fs-tit-0000250,,,,,,1,1,#Bassianus_Tit #Marcus_Tit #ROMANS_Tit #SENATORS_Tit #Saturninus_Tit #TRIBUNES_Tit,1,
c,,, ,,,,,,,1,1,#Bassianus_Tit #Marcus_Tit #ROMANS_Tit #SENATORS_Tit #Saturninus_Tit #TRIBUNES_Tit,1,
w,,SD 1.1.0,aloft,fs-tit-0000270,,,,,,1,1,#Bassianus_Tit #Marcus_Tit #ROMANS_Tit #SENATORS_Tit #Saturninus_Tit #TRIBUNES_Tit,1,
pc,,SD 1.1.0,.,fs-tit-0000280,,,,,,1,1,#Bassianus_Tit #Marcus_Tit #ROMANS_Tit #SENATORS_Tit #Saturninus_Tit #TRIBUNES_Tit,1,
c,,, ,,,,,,,1,1,#Bassianus_Tit #Marcus_Tit #ROMANS_Tit #SENATORS_Tit #Saturninus_Tit #TRIBUNES_Tit,1,
w,,SD 1.1.0,And,fs-tit-0000300,,,,,,1,1,#Bassianus_Tit #Marcus_Tit #ROMANS_Tit #SENATORS_Tit #Saturninus_Tit #TRIBUNES_Tit,1,
c,,, ,,,,,,,1,1,#Bassianus_Tit #Marcus_Tit #ROMANS_Tit #SENATORS_Tit #Saturninus_Tit #TRIBUNES_Tit,1,
w,,SD 1.1.0,then,fs-tit-0000320,,,,,,1,1,#Bassianus_Tit #Marcus_Tit #ROMANS_Tit #SENATORS_Tit #Saturninus_Tit #TRIBUNES_Tit,1,
c,,, ,,,,,,,1,1,#Bassianus_Tit #Marcus_Tit #ROMANS_Tit #SENATORS_Tit #Saturninus_Tit #TRIBUNES_Tit,1,
w,,SD 1.1.0,enter,fs-tit-0000340,,,,,,1,1,#Bassianus_Tit #Marcus_Tit #ROMANS_Tit #SENATORS_Tit #Saturninus_Tit #TRIBUNES_Tit,1,
pc,,SD 1.1.0,",",fs-tit-0000350,,,,,,1,1,#Bassianus_Tit #Marcus_Tit #ROMANS_Tit #SENATORS_Tit #Saturninus_Tit #TRIBUNES_Tit,1,
c,,, ,,,,,,,1,1,#Bassianus_Tit #Marcus_Tit #ROMANS_Tit #SENATORS_Tit #Saturninus_Tit #TRIBUNES_Tit,1,
w,,SD 1.1.0,below,fs-tit-0000370,,,,,,1,1,#Bassianus_Tit #Marcus_Tit #ROMANS_Tit #SENATORS_Tit #Saturninus_Tit #TRIBUNES_Tit,1,
pc,,SD 1.1.0,",",fs-tit-0000380,,,,,,1,1,#Bassianus_Tit #Marcus_Tit #ROMANS_Tit #SENATORS_Tit #Saturninus_Tit #TRIBUNES_Tit,1,
w,,SD 1.1.0,Saturninus,fs-tit-0000390,,,,,,1,1,#Bassianus_Tit #Marcus_Tit #ROMANS_Tit #SENATORS_Tit #Saturninus_Tit #TRIBUNES_Tit,1,
c,,, ,,,,,,,1,1,#Bassianus_Tit #Marcus_Tit #ROMANS_Tit #SENATORS_Tit #Saturninus_Tit #TRIBUNES_Tit,1,
w,,SD 1.1.0,and,fs-tit-0000410,,,,,,1,1,#Bassianus_Tit #Marcus_Tit #ROMANS_Tit #SENATORS_Tit #Saturninus_Tit #TRIBUNES_Tit,1,
c,,, ,,,,,,,1,1,#Bassianus_Tit #Marcus_Tit #ROMANS_Tit #SENATORS_Tit #Saturninus_Tit #TRIBUNES_Tit,1,
w,,SD 1.1.0,his,fs-tit-0000430,,,,,,1,1,#Bassianus_Tit #Marcus_Tit #ROMANS_Tit #SENATORS_Tit #Saturninus_Tit #TRIBUNES_Tit,1,
c,,, ,,,,,,,1,1,#Bassianus_Tit #Marcus_Tit #ROMANS_Tit #SENATORS_Tit #Saturninus_Tit #TRIBUNES_Tit,1,
w,,SD 1.1.0,followers,fs-tit-0000450,,,,,,1,1,#Bassianus_Tit #Marcus_Tit #ROMANS_Tit #SENATORS_Tit #Saturninus_Tit #TRIBUNES_Tit,1,
c,,, ,,,,,,,1,1,#Bassianus_Tit #Marcus_Tit #ROMANS_Tit #SENATORS_Tit #Saturninus_Tit #TRIBUNES_Tit,1,
w,,SD 1.1.0,at,fs-tit-0000470,,,,,,1,1,#Bassianus_Tit #Marcus_Tit #ROMANS_Tit #SENATORS_Tit #Saturninus_Tit #TRIBUNES_Tit,1,
c,,, ,,,,,,,1,1,#Bassianus_Tit #Marcus_Tit #ROMANS_Tit #SENATORS_Tit #Saturninus_Tit #TRIBUNES_Tit,1,
w,,SD 1.1.0,one,fs-tit-0000490,,,,,,1,1,#Bassianus_Tit #Marcus_Tit #ROMANS_Tit #SENATORS_Tit #Saturninus_Tit #TRIBUNES_Tit,1,
c,,, ,,,,,,,1,1,#Bassianus_Tit #Marcus_Tit #ROMANS_Tit #SENATORS_Tit #Saturninus_Tit #TRIBUNES_Tit,1,
w,,SD 1.1.0,door,fs-tit-0000510,,,,,,1,1,#Bassianus_Tit #Marcus_Tit #ROMANS_Tit #SENATORS_Tit #Saturninus_Tit #TRIBUNES_Tit,1,
pc,,SD 1.1.0,",",fs-tit-0000520,,,,,,1,1,#Bassianus_Tit #Marcus_Tit #ROMANS_Tit #SENATORS_Tit #Saturninus_Tit #TRIBUNES_Tit,1,
c,,, ,,,,,,,1,1,#Bassianus_Tit #Marcus_Tit #ROMANS_Tit #SENATORS_Tit #Saturninus_Tit #TRIBUNES_Tit,1,
w,,SD 1.1.0,and,fs-tit-0000540,,,,,,1,1,#Bassianus_Tit #Marcus_Tit #ROMANS_Tit #SENATORS_Tit #Saturninus_Tit #TRIBUNES_Tit,1,
c,,, ,,,,,,,1,1,#Bassianus_Tit #Marcus_Tit #ROMANS_Tit #SENATORS_Tit #Saturninus_Tit #TRIBUNES_Tit,1,
w,,SD 1.1.0,Bassianus,fs-tit-0000550,,,,,,1,1,#Bassianus_Tit #Marcus_Tit #ROMANS_Tit #SENATORS_Tit #Saturninus_Tit #TRIBUNES_Tit,1,
c,,, ,,,,,,,1,1,#Bassianus_Tit #Marcus_Tit #ROMANS_Tit #SENATORS_Tit #Saturninus_Tit #TRIBUNES_Tit,1,
w,,SD 1.1.0,and,fs-tit-0000570,,,,,,1,1,#Bassianus_Tit #Marcus_Tit #ROMANS_Tit #SENATORS_Tit #Saturninus_Tit #TRIBUNES_Tit,1,
c,,, ,,,,,,,1,1,#Bassianus_Tit #Marcus_Tit #ROMANS_Tit #SENATORS_Tit #Saturninus_Tit #TRIBUNES_Tit,1,
w,,SD 1.1.0,his,fs-tit-0000590,,,,,,1,1,#Bassianus_Tit #Marcus_Tit #ROMANS_Tit #SENATORS_Tit #Saturninus_Tit #TRIBUNES_Tit,1,
c,,, ,,,,,,,1,1,#Bassianus_Tit #Marcus_Tit #ROMANS_Tit #SENATORS_Tit #Saturninus_Tit #TRIBUNES_Tit,1,
w,,SD 1.1.0,followers,fs-tit-0000610,,,,,,1,1,#Bassianus_Tit #Marcus_Tit #ROMANS_Tit #SENATORS_Tit #Saturninus_Tit #TRIBUNES_Tit,1,
c,,, ,,,,,,,1,1,#Bassianus_Tit #Marcus_Tit #ROMANS_Tit #SENATORS_Tit #Saturninus_Tit #TRIBUNES_Tit,1,
w,,SD 1.1.0,at,fs-tit-0000630,,,,,,1,1,#Bassianus_Tit #Marcus_Tit #ROMANS_Tit #SENATORS_Tit #Saturninus_Tit #TRIBUNES_Tit,1,
c,,, ,,,,,,,1,1,#Bassianus_Tit #Marcus_Tit #ROMANS_Tit #SENATORS_Tit #Saturninus_Tit #TRIBUNES_Tit,1,
w,,SD 1.1.0,another,fs-tit-0000650,,,,,,1,1,#Bassianus_Tit #Marcus_Tit #ROMANS_Tit #SENATORS_Tit #Saturninus_Tit #TRIBUNES_Tit,1,
c,,, ,,,,,,,1,1,#Bassianus_Tit #Marcus_Tit #ROMANS_Tit #SENATORS_Tit #Saturninus_Tit #TRIBUNES_Tit,1,
w,,SD 1.1.0,door,fs-tit-0000670,,,,,,1,1,#Bassianus_Tit #Marcus_Tit #ROMANS_Tit #SENATORS_Tit #Saturninus_Tit #TRIBUNES_Tit,1,
pc,,SD 1.1.0,",",fs-tit-0000680,,,,,,1,1,#Bassianus_Tit #Marcus_Tit #ROMANS_Tit #SENATORS_Tit #Saturninus_Tit #TRIBUNES_Tit,1,
c,,, ,,,,,,,1,1,#Bassianus_Tit #Marcus_Tit #ROMANS_Tit #SENATORS_Tit #Saturninus_Tit #TRIBUNES_Tit,1,
w,,SD 1.1.0,with,fs-tit-0000700,,,,,,1,1,#Bassianus_Tit #Marcus_Tit #ROMANS_Tit #SENATORS_Tit #Saturninus_Tit #TRIBUNES_Tit,1,
c,,, ,,,,,,,1,1,#Bassianus_Tit #Marcus_Tit #ROMANS_Tit #SENATORS_Tit #Saturninus_Tit #TRIBUNES_Tit,1,
w,,SD 1.1.0,other,fs-tit-0000710,,,,,,1,1,#Bassianus_Tit #Marcus_Tit #ROMANS_Tit #SENATORS_Tit #Saturninus_Tit #TRIBUNES_Tit,1,
c,,, ,,,,,,,1,1,#Bassianus_Tit #Marcus_Tit #ROMANS_Tit #SENATORS_Tit #Saturninus_Tit #TRIBUNES_Tit,1,
w,,SD 1.1.0,Romans,fs-tit-0000730,,,,,,1,1,#Bassianus_Tit #Marcus_Tit #ROMANS_Tit #SENATORS_Tit #Saturninus_Tit #TRIBUNES_Tit,1,
pc,,SD 1.1.0,",",fs-tit-0000740,,,,,,1,1,#Bassianus_Tit #Marcus_Tit #ROMANS_Tit #SENATORS_Tit #Saturninus_Tit #TRIBUNES_Tit,1,
c,,, ,,,,,,,1,1,#Bassianus_Tit #Marcus_Tit #ROMANS_Tit #SENATORS_Tit #Saturninus_Tit #TRIBUNES_Tit,1,
stage,sound,SD 1.1.0,,snd-0000b,,drum trumpet,,,,1,1,#Bassianus_Tit #Marcus_Tit #ROMANS_Tit #SENATORS_Tit #Saturninus_Tit #TRIBUNES_Tit,1,
w,,SD 1.1.0,Drums,fs-tit-0000760,,,,,,1,1,#Bassianus_Tit #Marcus_Tit #ROMANS_Tit #SENATORS_Tit #Saturninus_Tit #TRIBUNES_Tit,1,
pc,,SD 1.1.0,",",fs-tit-0000770,,,,,,1,1,#Bassianus_Tit #Marcus_Tit #ROMANS_Tit #SENATORS_Tit #Saturninus_Tit #TRIBUNES_Tit,1,
c,,, ,,,,,,,1,1,#Bassianus_Tit #Marcus_Tit #ROMANS_Tit #SENATORS_Tit #Saturninus_Tit #TRIBUNES_Tit,1,
w,,SD 1.1.0,and,fs-tit-0000790,,,,,,1,1,#Bassianus_Tit #Marcus_Tit #ROMANS_Tit #SENATORS_Tit #Saturninus_Tit #TRIBUNES_Tit,1,
c,,, ,,,,,,,1,1,#Bassianus_Tit #Marcus_Tit #ROMANS_Tit #SENATORS_Tit #Saturninus_Tit #TRIBUNES_Tit,1,
w,,SD 1.1.0,Trumpets,fs-tit-0000810,,,,,,1,1,#Bassianus_Tit #Marcus_Tit #ROMANS_Tit #SENATORS_Tit #Saturninus_Tit #TRIBUNES_Tit,1,
pc,,SD 1.1.0,.,fs-tit-0000820,,,,,,1,1,#Bassianus_Tit #Marcus_Tit #ROMANS_Tit #SENATORS_Tit #Saturninus_Tit #TRIBUNES_Tit,1,
sp,,,,sp-0001,{'#Saturninus_Tit'},,,,,1,1,#Bassianus_Tit #Marcus_Tit #ROMANS_Tit #SENATORS_Tit #Saturninus_Tit #TRIBUNES_Tit,1,#Saturninus_Tit
l,,1.1.1,,ftln-0001,,,,,,1,1,#Bassianus_Tit #Marcus_Tit #ROMANS_Tit #SENATORS_Tit #Saturninus_Tit #TRIBUNES_Tit,1,#Saturninus_Tit
w,,1.1.1,Noble,fs-tit-0000840,,#j,,noble,,1,1,#Bassianus_Tit #Marcus_Tit #ROMANS_Tit #SENATORS_Tit #Saturninus_Tit #TRIBUNES_Tit,1,#Saturninus_Tit
c,,, ,,,,,,,1,1,#Bassianus_Tit #Marcus_Tit #ROMANS_Tit #SENATORS_Tit #Saturninus_Tit #TRIBUNES_Tit,1,
w,,1.1.1,patricians,fs-tit-0000860,,#n2,,patrician,,1,1,#Bassianus_Tit #Marcus_Tit #ROMANS_Tit #SENATORS_Tit #Saturninus_Tit #TRIBUNES_Tit,1,#Saturninus_Tit
pc,,1.1.1,",",fs-tit-0000870,,,,,,1,1,#Bassianus_Tit #Marcus_Tit #ROMANS_Tit #SENATORS_Tit #Saturninus_Tit #TRIBUNES_Tit,1,#Saturninus_Tit
c,,, ,,,,,,,1,1,#Bassianus_Tit #Marcus_Tit #ROMANS_Tit #SENATORS_Tit #Saturninus_Tit #TRIBUNES_Tit,1,
w,,1.1.1,patrons,fs-tit-0000890,,#n2,,patron,,1,1,#Bassianus_Tit #Marcus_Tit #ROMANS_Tit #SENATORS_Tit #Saturninus_Tit #TRIBUNES_Tit,1,#Saturninus_Tit
c,,, ,,,,,,,1,1,#Bassianus_Tit #Marcus_Tit #ROMANS_Tit #SENATORS_Tit #Saturninus_Tit #TRIBUNES_Tit,1,
w,,1.1.1,of,fs-tit-0000910,,#acp-p,,of,,1,1,#Bassianus_Tit #Marcus_Tit #ROMANS_Tit #SENATORS_Tit #Saturninus_Tit #TRIBUNES_Tit,1,#Saturninus_Tit
c,,, ,,,,,,,1,1,#Bassianus_Tit #Marcus_Tit #ROMANS_Tit #SENATORS_Tit #Saturninus_Tit #TRIBUNES_Tit,1,
w,,1.1.1,my,fs-tit-0000930,,#po,,my,,1,1,#Bassianus_Tit #Marcus_Tit #ROMANS_Tit #SENATORS_Tit #Saturninus_Tit #TRIBUNES_Tit,1,#Saturninus_Tit
c,,, ,,,,,,,1,1,#Bassianus_Tit #Marcus_Tit #ROMANS_Tit #SENATORS_Tit #Saturninus_Tit #TRIBUNES_Tit,1,
w,,1.1.1,right,fs-tit-0000950,,#n1_j,,right,,1,1,#Bassianus_Tit #Marcus_Tit #ROMANS_Tit #SENATORS_Tit #Saturninus_Tit #TRIBUNES_Tit,1,#Saturninus_Tit
pc,,1.1.1,",",fs-tit-0000960,,,,,,1,1,#Bassianus_Tit #Marcus_Tit #ROMANS_Tit #SENATORS_Tit #Saturninus_Tit #TRIBUNES_Tit,1,#Saturninus_Tit
l,,1.1.2,,ftln-0002,,,,,,1,1,#Bassianus_Tit #Marcus_Tit #ROMANS_Tit #SENATORS_Tit #Saturninus_Tit #TRIBUNES_Tit,1,#Saturninus_Tit
w,,1.1.2,Defend,fs-tit-0000970,,#vvb,,defend,,1,1,#Bassianus_Tit #Marcus_Tit #ROMANS_Tit #SENATORS_Tit #Saturninus_Tit #TRIBUNES_Tit,1,#Saturninus_Tit
c,,, ,,,,,,,1,1,#Bassianus_Tit #Marcus_Tit #ROMANS_Tit #SENATORS_Tit #Saturninus_Tit #TRIBUNES_Tit,1,
w,,1.1.2,the,fs-tit-0000990,,#d,,the,,1,1,#Bassianus_Tit #Marcus_Tit #ROMANS_Tit #SENATORS_Tit #Saturninus_Tit #TRIBUNES_Tit,1,#Saturninus_Tit
c,,, ,,,,,,,1,1,#Bassianus_Tit #Marcus_Tit #ROMANS_Tit #SENATORS_Tit #Saturninus_Tit #TRIBUNES_Tit,1,
w,,1.1.2,justice,fs-tit-0001010,,#n1,,justice,,1,1,#Bassianus_Tit #Marcus_Tit #ROMANS_Tit #SENATORS_Tit #Saturninus_Tit #TRIBUNES_Tit,1,#Saturninus_Tit
c,,, ,,,,,,,1,1,#Bassianus_Tit #Marcus_Tit #ROMANS_Tit #SENATORS_Tit #Saturninus_Tit #TRIBUNES_Tit,1,
w,,1.1.2,of,fs-tit-0001030,,#acp-p,,of,,1,1,#Bassianus_Tit #Marcus_Tit #ROMANS_Tit #SENATORS_Tit #Saturninus_Tit #TRIBUNES_Tit,1,#Saturninus_Tit
c,,, ,,,,,,,1,1,#Bassianus_Tit #Marcus_Tit #ROMANS_Tit #SENATORS_Tit #Saturninus_Tit #TRIBUNES_Tit,1,
w,,1.1.2,my,fs-tit-0001050,,#po,,my,,1,1,#Bassianus_Tit #Marcus_Tit #ROMANS_Tit #SENATORS_Tit #Saturninus_Tit #TRIBUNES_Tit,1,#Saturninus_Tit
c,,, ,,,,,,,1,1,#Bassianus_Tit #Marcus_Tit #ROMANS_Tit #SENATORS_Tit #Saturninus_Tit #TRIBUNES_Tit,1,
w,,1.1.2,cause,fs-tit-0001070,,#n1,,cause,,1,1,#Bassianus_Tit #Marcus_Tit #ROMANS_Tit #SENATORS_Tit #Saturninus_Tit #TRIBUNES_Tit,1,#Saturninus_Tit
c,,, ,,,,,,,1,1,#Bassianus_Tit #Marcus_Tit #ROMANS_Tit #SENATORS_Tit #Saturninus_Tit #TRIBUNES_Tit,1,
w,,1.1.2,with,fs-tit-0001090,,#acp-p,,with,,1,1,#Bassianus_Tit #Marcus_Tit #ROMANS_Tit #SENATORS_Tit #Saturninus_Tit #TRIBUNES_Tit,1,#Saturninus_Tit
c,,, ,,,,,,,1,1,#Bassianus_Tit #Marcus_Tit #ROMANS_Tit #SENATORS_Tit #Saturninus_Tit #TRIBUNES_Tit,1,
w,,1.1.2,arms,fs-tit-0001110,,#n2,,arm,,1,1,#Bassianus_Tit #Marcus_Tit #ROMANS_Tit #SENATORS_Tit #Saturninus_Tit #TRIBUNES_Tit,1,#Saturninus_Tit
pc,,1.1.2,.,fs-tit-0001120,,,,,,1,1,#Bassianus_Tit #Marcus_Tit #ROMANS_Tit #SENATORS_Tit #Saturninus_Tit #TRIBUNES_Tit,1,#Saturninus_Tit
l,,1.1.3,,ftln-0003,,,,,,1,1,#Bassianus_Tit #Marcus_Tit #ROMANS_Tit #SENATORS_Tit #Saturninus_Tit #TRIBUNES_Tit,1,#Saturninus_Tit
w,,1.1.3,And,fs-tit-0001130,,#cc,,and,,1,1,#Bassianus_Tit #Marcus_Tit #ROMANS_Tit #SENATORS_Tit #Saturninus_Tit #TRIBUNES_Tit,1,#Saturninus_Tit
c,,, ,,,,,,,1,1,#Bassianus_Tit #Marcus_Tit #ROMANS_Tit #SENATORS_Tit #Saturninus_Tit #TRIBUNES_Tit,1,
w,,1.1.3,countrymen,fs-tit-0001150,,#n2,,countryman,,1,1,#Bassianus_Tit #Marcus_Tit #ROMANS_Tit #SENATORS_Tit #Saturninus_Tit #TRIBUNES_Tit,1,#Saturninus_Tit
pc,,1.1.3,",",fs-tit-0001160,,,,,,1,1,#Bassianus_Tit #Marcus_Tit #ROMANS_Tit #SENATORS_Tit #Saturninus_Tit #TRIBUNES_Tit,1,#Saturninus_Tit
c,,, ,,,,,,,1,1,#Bassianus_Tit #Marcus_Tit #ROMANS_Tit #SENATORS_Tit #Saturninus_Tit #TRIBUNES_Tit,1,
w,,1.1.3,my,fs-tit-0001180,,#po,,my,,1,1,#Bassianus_Tit #Marcus_Tit #ROMANS_Tit #SENATORS_Tit #Saturninus_Tit #TRIBUNES_Tit,1,#Saturninus_Tit
c,,, ,,,,,,,1,1,#Bassianus_Tit #Marcus_Tit #ROMANS_Tit #SENATORS_Tit #Saturninus_Tit #TRIBUNES_Tit,1,
w,,1.1.3,loving,fs-tit-0001200,,#j_vg,,love,,1,1,#Bassianus_Tit #Marcus_Tit #ROMANS_Tit #SENATORS_Tit #Saturninus_Tit #TRIBUNES_Tit,1,#Saturninus_Tit
c,,, ,,,,,,,1,1,#Bassianus_Tit #Marcus_Tit #ROMANS_Tit #SENATORS_Tit #Saturninus_Tit #TRIBUNES_Tit,1,
w,,1.1.3,followers,fs-tit-0001220,,#n2,,follower,,1,1,#Bassianus_Tit #Marcus_Tit #ROMANS_Tit #SENATORS_Tit #Saturninus_Tit #TRIBUNES_Tit,1,#Saturninus_Tit
pc,,1.1.3,",",fs-tit-0001230,,,,,,1,1,#Bassianus_Tit #Marcus_Tit #ROMANS_Tit #SENATORS_Tit #Saturninus_Tit #TRIBUNES_Tit,1,#Saturninus_Tit
l,,1.1.4,,ftln-0004,,,,,,1,1,#Bassianus_Tit #Marcus_Tit #ROMANS_Tit #SENATORS_Tit #Saturninus_Tit #TRIBUNES_Tit,1,#Saturninus_Tit
w,,1.1.4,Plead,fs-tit-0001240,,#vvb,,plead,,1,1,#Bassianus_Tit #Marcus_Tit #ROMANS_Tit #SENATORS_Tit #Saturninus_Tit #TRIBUNES_Tit,1,#Saturninus_Tit
c,,, ,,,,,,,1,1,#Bassianus_Tit #Marcus_Tit #ROMANS_Tit #SENATORS_Tit #Saturninus_Tit #TRIBUNES_Tit,1,
w,,1.1.4,my,fs-tit-0001260,,#po,,my,,1,1,#Bassianus_Tit #Marcus_Tit #ROMANS_Tit #SENATORS_Tit #Saturninus_Tit #TRIBUNES_Tit,1,#Saturninus_Tit
c,,, ,,,,,,,1,1,#Bassianus_Tit #Marcus_Tit #ROMANS_Tit #SENATORS_Tit #Saturninus_Tit #TRIBUNES_Tit,1,
w,,1.1.4,successive,fs-tit-0001280,,#j,,successive,,1,1,#Bassianus_Tit #Marcus_Tit #ROMANS_Tit #SENATORS_Tit #Saturninus_Tit #TRIBUNES_Tit,1,#Saturninus_Tit
c,,, ,,,,,,,1,1,#Bassianus_Tit #Marcus_Tit #ROMANS_Tit #SENATORS_Tit #Saturninus_Tit #TRIBUNES_Tit,1,
w,,1.1.4,title,fs-tit-0001300,,#n1,,title,,1,1,#Bassianus_Tit #Marcus_Tit #ROMANS_Tit #SENATORS_Tit #Saturninus_Tit #TRIBUNES_Tit,1,#Saturninus_Tit
c,,, ,,,,,,,1,1,#Bassianus_Tit #Marcus_Tit #ROMANS_Tit #SENATORS_Tit #Saturninus_Tit #TRIBUNES_Tit,1,
w,,1.1.4,with,fs-tit-0001320,,#acp-p,,with,,1,1,#Bassianus_Tit #Marcus_Tit #ROMANS_Tit #SENATORS_Tit #Saturninus_Tit #TRIBUNES_Tit,1,#Saturninus_Tit
c,,, ,,,,,,,1,1,#Bassianus_Tit #Marcus_Tit #ROMANS_Tit #SENATORS_Tit #Saturninus_Tit #TRIBUNES_Tit,1,
w,,1.1.4,your,fs-tit-0001340,,#po,,your,,1,1,#Bassianus_Tit #Marcus_Tit #ROMANS_Tit #SENATORS_Tit #Saturninus_Tit #TRIBUNES_Tit,1,#Saturninus_Tit
c,,, ,,,,,,,1,1,#Bassianus_Tit #Marcus_Tit #ROMANS_Tit #SENATORS_Tit #Saturninus_Tit #TRIBUNES_Tit,1,
w,,1.1.4,swords,fs-tit-0001360,,#n2,,sword,,1,1,#Bassianus_Tit #Marcus_Tit #ROMANS_Tit #SENATORS_Tit #Saturninus_Tit #TRIBUNES_Tit,1,#Saturninus_Tit
pc,,1.1.4,.,fs-tit-0001370,,,,,,1,1,#Bassianus_Tit #Marcus_Tit #ROMANS_Tit #SENATORS_Tit #Saturninus_Tit #TRIBUNES_Tit,1,#Saturninus_Tit
l,,1.1.5,,ftln-0005,,,,,,1,1,#Bassianus_Tit #Marcus_Tit #ROMANS_Tit #SENATORS_Tit #Saturninus_Tit #TRIBUNES_Tit,1,#Saturninus_Tit
w,,1.1.5,I,fs-tit-0001380,,#pns,,i,,1,1,#Bassianus_Tit #Marcus_Tit #ROMANS_Tit #SENATORS_Tit #Saturninus_Tit #TRIBUNES_Tit,1,#Saturninus_Tit
c,,, ,,,,,,,1,1,#Bassianus_Tit #Marcus_Tit #ROMANS_Tit #SENATORS_Tit #Saturninus_Tit #TRIBUNES_Tit,1,
w,,1.1.5,am,fs-tit-0001400,,#vvm,,be,,1,1,#Bassianus_Tit #Marcus_Tit #ROMANS_Tit #SENATORS_Tit #Saturninus_Tit #TRIBUNES_Tit,1,#Saturninus_Tit
