tag,type,n,text,xml:id,who,lemma,ana,rendition,part,prev,act,scene,onstage,stagegroup_raw,speaker
pc,,SD 1.1.0,",",fs-ado-0000240,,,,,,,1,1,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,1,
w,,SD 1.1.0,and,fs-ado-0000250,,,,,,,1,1,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,1,
c,,, ,,,,,,,,1,1,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,1,
w,,SD 1.1.0,Beatrice,fs-ado-0000270,,,,,,,1,1,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,1,
c,,, ,,,,,,,,1,1,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,1,
w,,SD 1.1.0,his,fs-ado-0000290,,,,,,,1,1,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,1,
c,,, ,,,,,,,,1,1,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,1,
w,,SD 1.1.0,niece,fs-ado-0000310,,,,,,,1,1,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,1,
pc,,SD 1.1.0,",",fs-ado-0000320,,,,,,,1,1,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,1,
c,,, ,,,,,,,,1,1,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,1,
w,,SD 1.1.0,with,fs-ado-0000340,,,,,,,1,1,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,1,
c,,, ,,,,,,,,1,1,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,1,
w,,SD 1.1.0,a,fs-ado-0000360,,,,,,,1,1,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,1,
c,,, ,,,,,,,,1,1,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,1,
w,,SD 1.1.0,Messenger,fs-ado-0000380,,,,,,,1,1,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,1,
pc,,SD 1.1.0,.,fs-ado-0000390,,,,,,,1,1,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,1,
sp,,,,sp-0001,{'#Leonato_Ado'},,,,,,1,1,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,1,#Leonato_Ado
stage,business,SD 1.1.1,,stg-0001,{'#Leonato_Ado'},,,,,,1,1,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,1,#Leonato_Ado
pc,,SD 1.1.1,",",fs-ado-0000410,,,,,,,1,1,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,1,#Leonato_Ado
c,,, ,,,,,,,,1,1,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,1,
w,,SD 1.1.1,with,fs-ado-0000430,,,,,,,1,1,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,1,#Leonato_Ado
c,,, ,,,,,,,,1,1,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,1,
w,,SD 1.1.1,a,fs-ado-0000450,,,,,,,1,1,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,1,#Leonato_Ado
c,,, ,,,,,,,,1,1,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,1,
w,,SD 1.1.1,letter,fs-ado-0000470,,,,,,,1,1,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,1,#Leonato_Ado
p,,,,p-0001,,,,,,,1,1,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,1,
lb,,1.1.1,,ftln-0001,,,,,,,1,1,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,1,#Leonato_Ado
w,,1.1.1,I,fs-ado-0000480,,i,#pns,,,,1,1,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,1,#Leonato_Ado
c,,, ,,,,,,,,1,1,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,1,
w,,1.1.1,learn,fs-ado-0000500,,learn,#vvb,,,,1,1,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,1,#Leonato_Ado
c,,, ,,,,,,,,1,1,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,1,
w,,1.1.1,in,fs-ado-0000520,,in,#acp-p,,,,1,1,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,1,#Leonato_Ado
c,,, ,,,,,,,,1,1,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,1,
w,,1.1.1,this,fs-ado-0000540,,this,#d,,,,1,1,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,1,#Leonato_Ado
c,,, ,,,,,,,,1,1,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,1,
w,,1.1.1,letter,fs-ado-0000560,,letter,#n1,,,,1,1,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,1,#Leonato_Ado
c,,, ,,,,,,,,1,1,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,1,
w,,1.1.1,that,fs-ado-0000580,,that,#cs,,,,1,1,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,1,#Leonato_Ado
c,,, ,,,,,,,,1,1,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,1,
w,,1.1.1,Don,fs-ado-0000600,,don,#n1,,,,1,1,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,1,#Leonato_Ado
lb,,1.1.2,,ftln-0002,,,,,,,1,1,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,1,#Leonato_Ado
w,,1.1.2,Pedro,fs-ado-0000610,,Pedro,#n1-nn,,,,1,1,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,1,#Leonato_Ado
c,,, ,,,,,,,,1,1,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,1,
w,,1.1.2,of,fs-ado-0000630,,of,#acp-p,,,,1,1,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,1,#Leonato_Ado
c,,, ,,,,,,,,1,1,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,1,
w,,1.1.2,Aragon,fs-ado-0000650,,Arragon,#n1-nn,,,,1,1,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,1,#Leonato_Ado
c,,, ,,,,,,,,1,1,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,1,
w,,1.1.2,comes,fs-ado-0000670,,come,#vvz,,,,1,1,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,1,#Leonato_Ado
c,,, ,,,,,,,,1,1,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,1,
w,,1.1.2,this,fs-ado-0000690,,this,#d,,,,1,1,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,1,#Leonato_Ado
c,,, ,,,,,,,,1,1,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,1,
w,,1.1.2,night,fs-ado-0000710,,night,#n1,,,,1,1,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,1,#Leonato_Ado
c,,, ,,,,,,,,1,1,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,1,
w,,1.1.2,to,fs-ado-0000730,,to,#acp-p,,,,1,1,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,1,#Leonato_Ado
c,,, ,,,,,,,,1,1,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,1,
w,,1.1.2,Messina,fs-ado-0000750,,Messina,#n1-nn,,,,1,1,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,1,#Leonato_Ado
pc,,1.1.2,.,fs-ado-0000760,,,,,,,1,1,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,1,#Leonato_Ado
sp,,,,sp-0003,{'#MESSENGERS.LEONATO.1_Ado'},,,,,,1,1,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,1,#MESSENGERS.LEONATO.1_Ado
p,,,,p-0003,,,,,,,1,1,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,1,
lb,,1.1.3,,ftln-0003,,,,,,,1,1,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,1,#MESSENGERS.LEONATO.1_Ado
w,,1.1.3,He,fs-ado-0000780,,he,#pns,,,,1,1,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,1,#MESSENGERS.LEONATO.1_Ado
c,,, ,,,,,,,,1,1,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,1,
w,,1.1.3,is,fs-ado-0000800,,be,#vvz,,,,1,1,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,1,#MESSENGERS.LEONATO.1_Ado
c,,, ,,,,,,,,1,1,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,1,
w,,1.1.3,very,fs-ado-0000820,,very,#av,,,,1,1,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,1,#MESSENGERS.LEONATO.1_Ado
c,,, ,,,,,,,,1,1,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,1,
w,,1.1.3,near,fs-ado-0000840,,near,#j,,,,1,1,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,1,#MESSENGERS.LEONATO.1_Ado
c,,, ,,,,,,,,1,1,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,1,
w,,1.1.3,by,fs-ado-0000860,,by,#acp-p,,,,1,1,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,1,#MESSENGERS.LEONATO.1_Ado
c,,, ,,,,,,,,1,1,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,1,
w,,1.1.3,this,fs-ado-0000880,,this,#d,,,,1,1,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,1,#MESSENGERS.LEONATO.1_Ado
pc,,1.1.3,.,fs-ado-0000890,,,,,,,1,1,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,1,#MESSENGERS.LEONATO.1_Ado
c,,, ,,,,,,,,1,1,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,1,
w,,1.1.3,He,fs-ado-0000910,,he,#pns,,,,1,1,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,1,#MESSENGERS.LEONATO.1_Ado
c,,, ,,,,,,,,1,1,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,1,
w,,1.1.3,was,fs-ado-0000930,,be,#vvd,,,,1,1,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,1,#MESSENGERS.LEONATO.1_Ado
c,,, ,,,,,,,,1,1,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,1,
w,,1.1.3,not,fs-ado-0000950,,not,#xx,,,,1,1,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,1,#MESSENGERS.LEONATO.1_Ado
c,,, ,,,,,,,,1,1,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,1,
w,,1.1.3,three,fs-ado-0000970,,three,#crd,,,,1,1,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,1,#MESSENGERS.LEONATO.1_Ado
lb,,1.1.4,,ftln-0004,,,,,,,1,1,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,1,#MESSENGERS.LEONATO.1_Ado
w,,1.1.4,leagues,fs-ado-0000980,,league,#n2,,,,1,1,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,1,#MESSENGERS.LEONATO.1_Ado
c,,, ,,,,,,,,1,1,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,1,
w,,1.1.4,off,fs-ado-0001000,,off,#acp-p,,,,1,1,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,1,#MESSENGERS.LEONATO.1_Ado
c,,, ,,,,,,,,1,1,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,1,
w,,1.1.4,when,fs-ado-0001020,,when,#crq-cs,,,,1,1,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,1,#MESSENGERS.LEONATO.1_Ado
c,,, ,,,,,,,,1,1,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,1,
w,,1.1.4,I,fs-ado-0001040,,i,#pns,,,,1,1,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,1,#MESSENGERS.LEONATO.1_Ado
c,,, ,,,,,,,,1,1,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,1,
w,,1.1.4,left,fs-ado-0001060,,leave,#vvd,,,,1,1,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,1,#MESSENGERS.LEONATO.1_Ado
c,,, ,,,,,,,,1,1,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,1,
w,,1.1.4,him,fs-ado-0001080,,he,#pno,,,,1,1,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,1,#MESSENGERS.LEONATO.1_Ado
pc,,1.1.4,.,fs-ado-0001090,,,,,,,1,1,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,1,#MESSENGERS.LEONATO.1_Ado
sp,,,,sp-0005,{'#Leonato_Ado'},,,,,,1,1,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,1,#Leonato_Ado
p,,,,p-0005,,,,,,,1,1,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,1,
lb,,1.1.5,,ftln-0005,,,,,,,1,1,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,1,#Leonato_Ado
w,,1.1.5,How,fs-ado-0001110,,how,#crq-q,,,,1,1,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,1,#Leonato_Ado
c,,, ,,,,,,,,1,1,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,1,
w,,1.1.5,many,fs-ado-0001130,,many,#d,,,,1,1,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,1,#Leonato_Ado
c,,, ,,,,,,,,1,1,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,1,
w,,1.1.5,gentlemen,fs-ado-0001150,,gentleman,#n2,,,,1,1,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,1,#Leonato_Ado
c,,, ,,,,,,,,1,1,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,1,
w,,1.1.5,have,fs-ado-0001170,,have,#vvb,,,,1,1,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,1,#Leonato_Ado
c,,, ,,,,,,,,1,1,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,1,
w,,1.1.5,you,fs-ado-0001190,,you,#pn,,,,1,1,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,1,#Leonato_Ado
c,,, ,,,,,,,,1,1,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,1,
w,,1.1.5,lost,fs-ado-0001210,,lose,#vvn,,,,1,1,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,1,#Leonato_Ado
c,,, ,,,,,,,,1,1,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,1,
w,,1.1.5,in,fs-ado-0001230,,in,#acp-p,,,,1,1,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,1,#Leonato_Ado
c,,, ,,,,,,,,1,1,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,1,
w,,1.1.5,this,fs-ado-0001250,,this,#d,,,,1,1,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,1,#Leonato_Ado
lb,,1.1.6,,ftln-0006,,,,,,,1,1,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,1,#Leonato_Ado
w,,1.1.6,action,fs-ado-0001260,,action,#n1,,,,1,1,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,1,#Leonato_Ado
pc,,1.1.6,?,fs-ado-0001270,,,,,,,1,1,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,1,#Leonato_Ado
sp,,,,sp-0007,{'#MESSENGERS.LEONATO.1_Ado'},,,,,,1,1,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,1,#MESSENGERS.LEONATO.1_Ado
p,,,,p-0007,,,,,,,1,1,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,1,
lb,,1.1.7,,ftln-0007,,,,,,,1,1,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,1,#MESSENGERS.LEONATO.1_Ado
w,,1.1.7,But,fs-ado-0001290,,but,#acp-cc,,,,1,1,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,1,#MESSENGERS.LEONATO.1_Ado
c,,, ,,,,,,,,1,1,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,1,
w,,1.1.7,few,fs-ado-0001310,,few,#d,,,,1,1,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,1,#MESSENGERS.LEONATO.1_Ado
c,,, ,,,,,,,,1,1,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,1,
w,,1.1.7,of,fs-ado-0001330,,of,#acp-p,,,,1,1,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,1,#MESSENGERS.LEONATO.1_Ado
c,,, ,,,,,,,,1,1,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,1,
w,,1.1.7,any,fs-ado-0001350,,any,#d,,,,1,1,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,1,#MESSENGERS.LEONATO.1_Ado
c,,, ,,,,,,,,1,1,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,1,
w,,1.1.7,sort,fs-ado-0001370,,sort,#n1,,,,1,1,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,1,#MESSENGERS.LEONATO.1_Ado
pc,,1.1.7,",",fs-ado-0001380,,,,,,,1,1,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,1,#MESSENGERS.LEONATO.1_Ado
c,,, ,,,,,,,,1,1,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,1,
w,,1.1.7,and,fs-ado-0001400,,and,#cc,,,,1,1,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,1,#MESSENGERS.LEONATO.1_Ado
c,,, ,,,,,,,,1,1,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,1,
w,,1.1.7,none,fs-ado-0001420,,none,#pi-x,,,,1,1,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,1,#MESSENGERS.LEONATO.1_Ado
c,,, ,,,,,,,,1,1,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,1,
w,,1.1.7,of,fs-ado-0001440,,of,#acp-p,,,,1,1,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,1,#MESSENGERS.LEONATO.1_Ado
c,,, ,,,,,,,,1,1,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,1,
w,,1.1.7,name,fs-ado-0001460,,name,#n1,,,,1,1,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,1,#MESSENGERS.LEONATO.1_Ado
pc,,1.1.7,.,fs-ado-0001470,,,,,,,1,1,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,1,#MESSENGERS.LEONATO.1_Ado
sp,,,,sp-0008,{'#Leonato_Ado'},,,,,,1,1,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,1,#Leonato_Ado
p,,,,p-0008,,,,,,,1,1,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,1,
lb,,1.1.8,,ftln-0008,,,,,,,1,1,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,1,#Leonato_Ado
w,,1.1.8,A,fs-ado-0001490,,a,#d,,,,1,1,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,1,#Leonato_Ado
c,,, ,,,,,,,,1,1,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,1,
w,,1.1.8,victory,fs-ado-0001510,,victory,#n1,,,,1,1,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,1,#Leonato_Ado
c,,, ,,,,,,,,1,1,#Beatrice_Ado #Hero_Ado #Leonato_Ado #MESSENGERS.LEONATO.1_Ado,1,
